	cellline	drug	response	source
0	PC14_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8950262212620924	GDSC2
1	A549_LUNG	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8277475656179031	GDSC2
2	A375_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.6600663687528114	GDSC2
3	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.5470267314466121	GDSC2
4	EW13_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7348500723447945	GDSC2
5	CL40_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7176698144556524	GDSC2
6	MHHES1_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7154966249839785	GDSC2
7	C32_SKIN	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8039843089551041	GDSC2
8	U2OS_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	1.011716766619934	GDSC2
9	TC71_BONE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7169009638847473	GDSC2
10	DIFI_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9212149222923068	GDSC2
11	RKO_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7666188647910899	GDSC2
12	NCIH747_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9073384211616926	GDSC2
13	CL11_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8519995443681224	GDSC2
14	COLO320HSR_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9267406053136968	GDSC2
15	SW620_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.765944760371275	GDSC2
16	HT29_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9041027365189896	GDSC2
17	HCT15_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8318993842043748	GDSC2
18	SNUC2B_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.9262405122176032	GDSC2
19	MFM223_BREAST	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	1.020829442037971	GDSC2
20	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.5326408096803967	GDSC2
21	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.7136154175282378	GDSC2
22	CCK81_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8756896235049583	GDSC2
23	COLO205_LARGE_INTESTINE	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.8916729317825275	GDSC2
