gene,D_used,p_hmp,p_bonf_hmp,is_sig_hmp_bonf,small_systems,num_small_systems,important_systems_matched,num_important_systems_matched,sig_drugs,n_sig_drugs,is_important
ELOC,12,6e-300,4.3080000000000005e-297,True,Culin-RIng uniqutin ligase complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,4,Culin-RIng uniqutin ligase complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity,3,5-FU;CD437;Camptothecin;Cisplatin;Etoposide,5,True
TNF,12,5.3276668742751305e-15,3.8252648157295435e-12,True,Actin filament-based process;Actin filaments;Cell motility;Chromatin binding;ECM-cytoskeleton assembly;EGFR-MAPK signaling;Extended PRC1 complex;Extracellular matrix;Extracellular matrix organization;Histone acetyltransferase complex;Histone methyltransferase complex;Interferon signaling;Locomotion;Nucleolus;PcG protein complex;Positive regulators of transcription;Protein Transport;RNA metabolism;RNA processing 1;RNA processing 2;Regulation of nuclear protein ubiquitiation;Ribosome abundance control;TNFR/Traf signaling;Transmembrane tyrosine kinase signaling;Type I interferon signaling pathway;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,27,Actin filament-based process;Chromatin binding;ECM-cytoskeleton assembly;Extended PRC1 complex;Extracellular matrix;Extracellular matrix organization;PcG protein complex;Positive regulators of transcription;Protein Transport;RNA processing 1;TNFR/Traf signaling;Transmembrane tyrosine kinase signaling;Ubiquitin regulation of p53 activity,13,Bleomycin-a2;Doxorubicin;Etoposide;Gemcitabine;Methotrexate,5,True
FGF10,12,4.000000000000001e-300,2.8720000000000005e-297,True,Cell motility;ECM-cytoskeleton assembly;Extracellular matrix;Extracellular matrix organization;NeST:16,5,ECM-cytoskeleton assembly;Extracellular matrix;Extracellular matrix organization;NeST:16,4,Doxorubicin;Etoposide;Gemcitabine;Methotrexate,4,True
TP53,12,6e-300,4.3080000000000005e-297,True,Apoptosis Regulation;CDK holoenzyme complex I;CDK holoenzyme complex II;Cell Proliferation;Checkpoint-regulated DNA repair;Chromatin binding;Cyclin D associated events in G1;Epigenetic modification;Fas;G1 to S cell cycle control;G1/S phase;H3 acetylation and H3K4 methylation crosstalk;Histone deacetylase binding;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;MDM2-p53 pathway;Mismatch and excision repair;Mitosis;Oncogene induced senescence;Positive regulators of transcription;RBL-TP53 complex;RNA processing 1;Regulation of E2F transcription via DREAM complex;Regulation of TP53 Activity;Regulation of beta catenin transcriptional activity;Regulation of nuclear protein ubiquitiation;Resolution of D-loop structures;TNFR/Traf signaling;Transcription coactivator activity;Transmembrane tyrosine kinase signaling;Ubiquitin/Proteasome System;p53 regulation;p53 regulation of cell cycle,33,Apoptosis Regulation;CDK holoenzyme complex I;CDK holoenzyme complex II;Chromatin binding;Cyclin D associated events in G1;Epigenetic modification;Fas;G1 to S cell cycle control;G1/S phase;H3 acetylation and H3K4 methylation crosstalk;Histone deacetylase binding;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Positive regulators of transcription;RNA processing 1;Regulation of beta catenin transcriptional activity;TNFR/Traf signaling;Transcription coactivator activity;Transmembrane tyrosine kinase signaling;p53 regulation of cell cycle,20,CD437;Doxorubicin;Gemcitabine;MK-1775,4,True
STK11,12,1.3314809379821862e-14,9.560033134712097e-12,True,Culin-RIng uniqutin ligase complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,4,Culin-RIng uniqutin ligase complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity,3,5-FU;CD437;Camptothecin;MK-1775,4,True
MED1,12,2.929171667602529e-14,2.1031452573386158e-11,True,Mediator complex;Mediator/CCR-NOT complex;Transcription coactivator activity,3,Mediator complex;Mediator/CCR-NOT complex;Transcription coactivator activity,3,CD437;Gemcitabine;MK-1775;Methotrexate,4,True
HSP90AA1,12,5.861317871160298e-14,4.208426231493094e-11,True,Cell motility;Locomotion;PIK3/AKT signaling;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,6,PIK3/AKT signaling;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity,3,5-FU;Camptothecin;Ceralasertib;Methotrexate,4,True
BRCA2,12,1.1456791494063128e-13,8.225976292737325e-11,True,Checkpoint-regulated DNA repair;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair;Resolution of D-loop structures,5,Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair,2,Bleomycin-a2;Doxorubicin;Gemcitabine;Methotrexate,4,True
CDK6,12,3.580696786832021e-13,2.570940292945391e-10,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1 to S cell cycle control,5,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control,4,CD437;Doxorubicin;Etoposide;Gemcitabine,4,True
DNMT3A,12,1.5122569983429936e-10,1.0858005248102694e-07,True,Chromatin binding;Epigenetic modification;Transcription elongation,3,Chromatin binding;Epigenetic modification;Transcription elongation,3,5-FU;Bleomycin-a2;Ceralasertib;Etoposide,4,True
