drug,gene,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
5-FU,ABCB1,0.1487838319799772,0.19189551465354585,7.169485307656487e-07,1.6264012359101798e-10,0.0005147690450897358,1.1677560873835091e-07,6.863587267863143e-06,1.2832484476741859e-09,6.564536175427023e-06,1.7828337211961972e-09
5-FU,ABCC3,0.08180000942553207,0.18756331301028217,0.006427970818379203,4.1387782090396286e-10,1.0,2.9716427540904533e-07,0.019588035969537242,3.0954612021775554e-09,0.02083649231420437,4.2351203146182235e-09
5-FU,ABL1,0.000778800837941172,-0.04639329575578596,0.979381097292747,0.1223213082296839,1.0,1.0,0.9873898640275819,0.17288720336400204,0.9894872812235351,0.18907793177376328
5-FU,ABL2,-0.057804580744181794,0.0053493138541931195,0.05411768881154466,0.8582515689931787,1.0,1.0,0.11394868201375093,0.897546192611099,0.12164831901911527,0.8985019312453832
5-FU,ACTA2,0.085415439800867,0.25300905357889475,0.004433313704669484,0.0,1.0,0.0,0.014601464403452703,0.0,0.015163728018829804,0.0
5-FU,ACVR1B,-0.01795989547423636,0.057644578379673475,0.5495428215624183,0.054767727376457964,1.0,1.0,0.6826500793803051,0.08604645132668888,0.687706746634974,0.09579349148915181
5-FU,ADGRA2,0.0031976783089726103,0.009944953274250233,0.9152403199490058,0.7401195818650097,1.0,1.0,0.9496279620280147,0.8076076896338557,0.9537729499321279,0.8075054219765637
5-FU,AJUBA,-0.1393944388762139,0.0096420063939118,3.4155340442598714e-06,0.7477535372225277,0.0024523534437785877,1.0,2.7867652770211222e-05,0.8134652117057196,2.694893894262184e-05,0.8141848195007328
5-FU,AKT1,-0.06286179973655771,0.03159208298819382,0.0362263688125799,0.2924204598864495,1.0,1.0,0.08205215396666363,0.3742564887673275,0.08834599311893247,0.3915907184304708
5-FU,AKT2,0.024044123717695407,0.14720777833179002,0.423165154782716,9.374363991732082e-07,1.0,0.0006730793346063635,0.573727840087276,3.8027081051206976e-06,0.5779947643639635,5.221042026681553e-06
5-FU,AKT3,0.0680629456771194,0.16708714036871314,0.023362514379722032,2.5978980744412183e-08,1.0,1.8652908174487948e-05,0.05784236318841524,1.4130991041278748e-07,0.06170797789567291,1.9446993752724186e-07
5-FU,ALK,0.024504639062053864,0.24928967619686332,0.41433746798154125,0.0,1.0,0.0,0.5677472298950677,0.0,0.569622952002508,0.0
5-FU,ALOX12B,-0.05236900882168372,0.10028996094242906,0.08101894911078489,0.0008336857700756983,1.0,0.5985863829143514,0.16069504271144627,0.0020222512936295656,0.16676045521703836,0.002445705343878862
5-FU,AMER1,-0.20071884057007255,-0.11596349796364043,2.2754020889692583e-11,0.00011214165540951448,1.6337386998799275e-08,0.0805177085840314,5.834781070999741e-10,0.000325982625846281,5.491558655058579e-10,0.00040418616649419447
5-FU,ANKRD11,0.08935944152306995,0.21046409326913637,0.0029112335257552857,2.3561153028595072e-12,1.0,1.6916907874531262e-09,0.010296875229026085,2.4167011249330375e-11,0.010592562524454199,3.470134948621797e-11
5-FU,APC,0.08201682645975066,0.038893881610599326,0.006288711887344478,0.1949507795966614,1.0,1.0,0.019378949077739637,0.26486591796380726,0.02043890668478311,0.2800893641828972
5-FU,APOB,0.058545755963446605,0.12481113948454928,0.051130445056578155,3.2071389669763306e-05,1.0,0.023027257782890054,0.10893667522440094,0.00010011851209952197,0.11629881589426541,0.00013022011941313887
5-FU,AR,-0.1090588228185863,-0.05233827388183111,0.0002796488564777988,0.08130768651501064,0.20078787895105954,1.0,0.0013123390781115002,0.12187665744838756,0.0013551487893209869,0.1338145875318388
5-FU,ARAF,0.07213861316883263,0.07907192721994347,0.016250651189361642,0.008425524025446274,1.0,1.0,0.04289693953662375,0.016804239584084515,0.04598213814369127,0.019088697082104943
5-FU,ARFRP1,0.16478640715067208,0.16993098201517604,4.022747068788135e-08,1.502169721945279e-08,2.888332395389881e-05,1.0785578603567103e-05,5.067249816473475e-07,8.878252873380635e-08,4.793912689443786e-07,1.1734083702883521e-07
5-FU,ARHGAP26,0.04154934887702826,0.06973055753951829,0.16631604603509698,0.020161160996051253,1.0,1.0,0.2877467977185533,0.03574250270411062,0.2929348859283651,0.04063358202151523
5-FU,ARHGAP35,0.12415377222206546,0.11078197747832337,3.5317951555091653e-05,0.0002234773535667589,0.025358289216555807,0.1604567398609329,0.00021309486736601518,0.0006147767810763713,0.0002173567647133355,0.000750967581252416
5-FU,ARID1A,-0.06377614571718558,-0.07788639159463293,0.033600014998801164,0.009480198289532726,1.0,1.0,0.07705427782141368,0.018751466589213492,0.0832368399165241,0.021144547880562768
5-FU,ARID1B,0.03075786069232667,0.050974339121643064,0.30554534079965734,0.08941184112758105,1.0,1.0,0.45626632932167005,0.13236639573114062,0.4588899203423383,0.14494307114868077
5-FU,ARID2,0.10466117928626462,0.0710646263926412,0.0004889381515900126,0.017895322255391033,0.3510575928416291,1.0,0.002114804776154392,0.0321221034484269,0.002220712237269135,0.03658901199630971
5-FU,ARID5B,0.02280069365799369,0.041004735317008274,0.4475436178919132,0.1718163788179743,1.0,1.0,0.5961712757818065,0.2345326235576151,0.6001612158376225,0.25227844578999087
5-FU,ASNS,0.0265222108301512,0.08070447138044545,0.37696565246474867,0.007168586497582563,1.0,1.0,0.5317511561290561,0.014539675438599662,0.5338679693631062,0.01647933331461349
5-FU,ASXL1,0.05596259282570546,0.10698247055893612,0.06227624376505703,0.00036481544157873635,1.0,0.2619374870535327,0.12680677098730966,0.0009594779745550648,0.135532234473284,0.0011706703332001463
5-FU,ASXL2,-0.030558269153900842,0.022161518115645904,0.3085984930718215,0.460109915938244,1.0,1.0,0.4596965104264893,0.5478589048816902,0.4619141505945346,0.5623130547126114
5-FU,ATIC,-0.05137410783752416,0.001112179077133846,0.08695960895428678,0.9701274344450004,1.0,1.0,0.1702744509138733,0.9810584477908596,0.17687535192401674,0.9807585169855513
5-FU,ATM,-0.06220456331155223,-0.1473365001287218,0.03822058191547484,9.209061926362949e-07,1.0,0.0006612106463128598,0.085224775823947,3.756878672232158e-06,0.09175495508044892,5.155638567741597e-06
5-FU,ATP7B,0.10805621632631196,0.11026141988105091,0.0003183982245409389,0.00023921213097222171,0.22860992522039414,0.1717543100380552,0.001476969564476874,0.000650584507719906,0.0015215302843287464,0.0007988572559909544
5-FU,ATR,-0.04885933467093763,0.07291646139142399,0.10355086629450572,0.015121034302173708,1.0,1.0,0.19669185714141563,0.02755559042883432,0.20355789732910365,0.031591375254007924
5-FU,ATRX,-0.0062746871982540435,-0.05882795259887645,0.8343342106082272,0.05007305695797548,1.0,1.0,0.8967843760729148,0.07887818747107567,0.9006043045102087,0.08860740578145754
5-FU,AURKA,-0.07268098534761885,-0.04468372853229324,0.015456212425849492,0.13671073275579837,1.0,1.0,0.0415638970852432,0.19107220074168266,0.044008832207904566,0.20796251296326956
5-FU,AURKB,0.1273662784086691,0.1898919874487935,2.203768395814265e-05,2.511464369803207e-10,0.015823057081946423,1.8032314175187025e-07,0.0001438459734722402,1.9389585134609703e-09,0.00014395503031338673,2.6388752451493207e-09
5-FU,AXIN1,0.07897448951856262,0.08025536269357054,0.008513953108294947,0.007496401617138826,1.0,1.0,0.024855232445923574,0.01507679652970778,0.02658429209433565,0.017141453379317443
5-FU,AXIN2,-0.018641835707263466,0.0008314763033760113,0.534491355166705,0.9775844694422686,1.0,1.0,0.6685797787625334,0.982319024753788,0.6743560574192898,0.9857071724651358
5-FU,AXL,0.04672662245020149,0.16230521749433352,0.11956018931482193,6.398974439214555e-08,1.0,4.594463647356051e-05,0.2202401770032343,3.235537779828205e-07,0.22760287033506532,4.5043761248588734e-07
5-FU,B2M,0.006824424942039107,-0.07265465998281725,0.8202229766846225,0.015522685025700644,1.0,1.0,0.890953248501602,0.028215918603678638,0.8926412993703053,0.03231298723881052
5-FU,BAP1,-0.08757303198450267,-0.066507831028096,0.003526844687869568,0.026747750806073167,1.0,1.0,0.012116145865504066,0.04550920634777378,0.012474258551183991,0.051683924858741064
5-FU,BARD1,-0.10373288212766647,-0.04929352647494965,0.0005482136356220746,0.10064832024105552,0.39361739037664956,1.0,0.0023429606570038665,0.1464740450303354,0.002444440741643682,0.1602931473561801
