Gene,Drug,Partner Genes,Candidate Gene Pairs,Gene Pairs Tested,Epistasis Score HMP (-log10[P]),Max Epistasis Score (-log10[P]),Top Interaction for Gene,Top Interaction P-Value,Top Interaction FDR,Epistasis Score HMP FDR
CD79A,5-FU,98,861,111,2.6535274602145114,4.3164170560762685,CD79A_amp x HLA-F_amp,4.8259513990510086e-05,0.26048544544234564,0.17431604711551238
RPS6KB1,5-FU,7,63,12,2.5973071848500497,3.669677456292739,MAPK1_del x RPS6KB1_amp,0.000213955,0.30809527347218085,0.17431604711551238
AXL,5-FU,98,861,148,2.3746935643382336,4.139268146521685,AXL_amp x HLA-F_amp,7.256577760751525e-05,0.26704206159565613,0.17431604711551238
HLA-E,5-FU,98,861,121,2.496703461391681,4.441458638719129,HLA-E_amp x JAK3_amp,3.618606519286767e-05,0.26048544544234564,0.17431604711551238
HLA-F,5-FU,98,861,122,2.539019808822933,4.3164170560762685,CD79A_amp x HLA-F_amp,4.8259513990510086e-05,0.26048544544234564,0.17431604711551238
JAK3,5-FU,109,960,116,2.419172633570591,4.441458638719129,HLA-E_amp x JAK3_amp,3.618606519286767e-05,0.26048544544234564,0.17431604711551238
FCGR3A,5-FU,98,861,163,2.7198203538458228,4.921222965646278,FCGR3A_amp x LYN_amp,1.1988836414108665e-05,0.19447816489842829,0.17431604711551238
FCGR2A,5-FU,173,1530,310,2.6449267442956397,4.871930354,FCGR2A_amp x LYN_amp,1.3429803124881347e-05,0.19447816489842829,0.17431604711551238
MYCN,5-FU,13,117,20,2.5993900191767607,3.8970465457521963,MYC_amp x MYCN_amp,0.000126752,0.30244227973845933,0.17431604711551238
KAT6A,5-FU,26,234,85,2.389296179151108,4.243799102801049,KAT6A_amp x TBL1XR1_amp,5.7042808153286594e-05,0.26048544544234564,0.17431604711551238
TBL1XR1,5-FU,29,261,69,2.4294200945112285,4.243799102801049,KAT6A_amp x TBL1XR1_amp,5.7042808153286594e-05,0.26048544544234564,0.17431604711551238
SOX17,5-FU,82,729,160,2.5940716994332917,4.754098225553821,FCGR2A_amp x SOX17_amp,1.7615775806017054e-05,0.19447816489842829,0.17431604711551238
LYN,5-FU,98,861,160,3.003378797527563,4.921222965646278,FCGR3A_amp x LYN_amp,1.1988836414108665e-05,0.19447816489842829,0.17431604711551238
POU2F2,5-FU,98,861,119,2.0667101606027787,3.7180906941199745,HLA-F_amp x POU2F2_amp,0.000191386,0.30743981238729423,0.22680726352637762
BCL2L1,5-FU,12,72,24,2.062017418549553,3.4233286464922936,BCL2_del x BCL2L1_amp,0.000377287,0.3282179268034549,0.22680726352637762
HLA-G,5-FU,98,861,153,2.1490481046044962,3.982754856883194,CD79A_amp x HLA-G_amp,0.000104051,0.30244227973845933,0.22680726352637762
PTPN13,5-FU,12,105,23,2.1756523730287656,3.523343942821127,PTPN13_del x TP53_mut,0.000299679,0.3282179268034549,0.22680726352637762
UPF1,5-FU,118,1044,214,2.121272934215603,4.2012168789005715,BRD4_amp x UPF1_amp,6.291918972037335e-05,0.26048544544234564,0.22680726352637762
PRCC,5-FU,90,795,198,2.0371956479035656,4.2311736256988475,PRCC_amp x RAD21_amp,5.872545283113484e-05,0.26048544544234564,0.22680726352637762
MAP2K2,5-FU,58,522,60,2.0376495940181156,3.5878204023952565,MAP2K2_amp x MDM4_amp,0.000258333,0.32387904681618146,0.22680726352637762
BRD4,5-FU,90,795,182,2.031894646107483,4.2012168789005715,BRD4_amp x UPF1_amp,6.291918972037335e-05,0.26048544544234564,0.22680726352637762
RAD21,5-FU,90,795,249,2.0524902838323236,4.2311736256988475,PRCC_amp x RAD21_amp,5.872545283113484e-05,0.26048544544234564,0.22680726352637762
RIT1,5-FU,20,171,36,1.9624841299170575,3.404152081188822,ELOC_amp x RIT1_amp,0.000394319,0.3282179268034549,0.23066052670818582
