ID	Annotation	All_Genes	Size_All
NeST	Cell	"ABCB1,ABCC3,ABL1,ABL2,ACTA2,ACVR1B,ADGRA2,AJUBA,AKT1,AKT2,AKT3,ALK,ALOX12B,AMER1,ANKRD11,APC,APOB,AR,ARAF,ARFRP1,ARHGAP26,ARHGAP35,ARID1A,ARID1B,ARID2,ARID5B,ASNS,ASXL1,ASXL2,ATIC,ATM,ATP7B,ATR,ATRX,AURKA,AURKB,AXIN1,AXIN2,AXL,B2M,BAP1,BARD1,BCAR1,BCL10,BCL11B,BCL2,BCL2L1,BCL2L11,BCL2L12,BCL2L2,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BCR,BIRC3,BLM,BMPR1A,BRAF,BRCA1,BRCA2,BRD4,BRIP1,BTG1,BTK,BUB1B,C11orf65,C3orf70,C8orf34,CADM2,CALR,CARD11,CASP8,CASR,CBFB,CBL,CBLB,CBLC,CBR3,CCDC6,CCND1,CCND2,CCND3,CCNE1,CCNE2,CD19,CD22,CD274,CD276,CD40,CD70,CD79A,CD79B,CDC25A,CDC73,CDH1,CDH2,CDK12,CDK4,CDK5,CDK6,CDK8,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CEBPA,CEP57,CFTR,CHD2,CHD4,CHEK1,CHEK2,CIC,CIITA,CKS1B,CREBBP,CRKL,CRLF2,CSF1R,CSF3R,CTC1,CTCF,CTLA4,CTNNA1,CTNNB1,CTRC,CUL3,CUX1,CXCR4,CYLD,CYP1B1,CYP2D6,CYP3A5,DAXX,DDB2,DDR2,DDX3X,DICER1,DIS3,DIS3L2,DKC1,DMD,DNM2,DNMT1,DNMT3A,DNMT3B,DOT1L,DPYD,DYNC2H1,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EBF1,ECT2L,EED,EGF,EGFL7,EGFR,EGLN1,ELF3,ELOC,EMSY,ENG,EP300,EPCAM,EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,EPOR,ERBB2,ERBB3,ERBB4,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ERG,ERRFI1,ESR1,ESR2,ETS1,ETS2,ETV1,ETV4,ETV5,ETV6,EWSR1,EXT2,EZH2,FAM46C,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FANCM,FAS,FAT1,FBXO11,FBXW7,FCGR2A,FCGR3A,FDPS,FGF1,FGF10,FGF14,FGF19,FGF2,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FH,FHIT,FLCN,FLG,FLT1,FLT3,FLT4,FNTB,FOXA1,FOXL2,FOXO1,FOXO3,FOXP1,FOXQ1,FRS2,FUBP1,FUS,FYN,G6PD,GABRA6,GALNT12,GATA1,GATA2,GATA3,GATA4,GATA6,GEN1,GID4,GLI1,GLI2,GLI3,GNA11,GNA13,GNAQ,GNAS,GPC3,GPER1,GPS2,GREM1,GRIN2A,GRM3,GSK3B,GSTP1,H3F3A,H3F3C,HAS3,HAVCR2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HGF,HIF1A,HIST1H1C,HIST1H1E,HIST1H2BD,HIST1H3F,HIST1H4E,HIST3H3,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HNF1A,HNF1B,HOXB13,HRAS,HSD3B1,HSP90AA1,HSPH1,IDH1,IDH2,IDO1,IFIT1,IFIT2,IFIT3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IFNL3,IGF1,IGF1R,IGF2,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,ING1,INHBA,INPP4A,INPP4B,INPPL1,INSR,IRF1,IRF2,IRF4,IRS1,IRS2,ITPKB,JAK1,JAK2,JAK3,JUN,KAT6A,KDM5A,KDM5C,KDM6A,KDM6B,KDR,KEAP1,KEL,KIF1B,KIT,KLF4,KLHL6,KLLN,KMT2A,KMT2B,KMT2C,KMT2D,KRAS,LAG3,LATS1,LATS2,LDLR,LEF1,LMNA,LMO1,LRP1B,LYN,LZTR1,MAD2L2,MAF,MAFB,MAGI2,MALT1,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K7,MAPK1,MAX,MC1R,MCL1,MDC1,MDM2,MDM4,MECOM,MED1,MED12,MEF2B,MEN1,MET,MGA,MGMT,MIB1,MITF,MKI67,MLH1,MLH3,MLLT3,MPL,MRE11,MS4A1,MSH2,MSH3,MSH6,MST1,MST1R,MTA1,MTAP,MTHFR,MTOR,MTRR,MUTYH,MYB,MYC,MYCL,MYCN,MYD88,MYH11,MYOD1,NBN,NCOA3,NCOR1,NCOR2,NEGR1,NF1,NF2,NFE2L2,NFKBIA,NHP2,NKX2-1,NKX3-1,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NPM1,NQO1,NRAS,NRG1,NRIP1,NSD1,NSD2,NT5C2,NTHL1,NTRK1,NTRK2,NTRK3,NUDT15,NUP93,NUP98,P2RY8,PA2G4,PAK1,PAK3,PAK5,PALB2,PALLD,PARK2,PARP1,PAX5,PAX7,PAX8,PBRM1,PCBP1,PDCD1,PDCD1LG2,PDGFRA,PDGFRB,PDK1,PDPK1,PELP1,PGR,PHB2,PHF6,PHOX2B,PIAS4,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIM1,PLCG2,PLK2,PML,PMS1,PMS2,PNRC1,POLD1,POLE,POLH,POT1,POU2F2,PPP1CA,PPP1CB,PPP1CC,PPP1R15A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,PRAME,PRCC,PRDM1,PREX2,PRF1,PRKAR1A,PRKCI,PRKCZ,PRKDC,PRPF40B,PRSS1,PRSS2,PRSS8,PTCH1,PTCH2,PTEN,PTK2,PTPN11,PTPN13,PTPN22,PTPRD,QKI,RAB35,RAC1,RAD21,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD52,RAD54L,RAF1,RANBP2,RARA,RASA1,RB1,RBL1,RBL2,RBM10,RECQL4,REL,RET,RHOA,RHPN2,RICTOR,RINT1,RIT1,RNF139,RNF43,ROS1,RPL5,RPS15,RPS6KA4,RPS6KB1,RPS6KB2,RPTOR,RSF1,RUNX1,RUNX1T1,RXRA,SCG5,SDHA,SDHAF2,SDHB,SDHC,SDHD,SEC23B,SEMA3C,SETBP1,SETD2,SF1,SF3B1,SGK1,SH2B3,SH2D1A,SHQ1,SKP1,SLC26A3,SLC47A2,SLIT2,SLX4,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SMO,SNCAIP,SOCS1,SOD2,SOX10,SOX17,SOX2,SOX9,SPEN,SPINK1,SPOP,SPRED1,SPTA1,SQSTM1,SRC,SRSF2,STAG1,STAG2,STAT3,STAT4,STAT5A,STAT5B,STAT6,STK11,SUFU,SUZ12,SYK,TAF1,TANC1,TAP1,TAP2,TBC1D12,TBL1XR1,TBX3,TCF3,TCF7L2,TCL1A,TERT,TET1,TET2,TFDP1,TFF1,TGFBR1,TGFBR2,TIGIT,TLR4,TMEM127,TMEM173,TMPRSS2,TNF,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,TOP1,TOP2A,TP53,TP63,TPM1,TPMT,TPRX1,TRAF2,TRAF3,TRAF7,TSC1,TSC2,TSHR,TUSC3,TYMS,U2AF1,UBE2T,UMPS,UPF1,VEGFA,VHL,VSIR,WEE1,WISP3,WNT7A,WRN,WT1,XPA,XPC,XPO1,XRCC1,XRCC2,XRCC3,YAP1,YEATS4,ZBTB2,ZFHX3,ZNF217,ZNF471,ZNF620,ZNF703,ZNF750,ZNRF3,ZRSR2"	718
NeST:1	Signaling pathways	"ABL1,ACVR1B,AKT1,AKT2,AKT3,ALK,ALOX12B,AMER1,ANKRD11,APC,ARAF,ARFRP1,AURKB,AXIN1,AXIN2,BARD1,BCAR1,BCL2,BCL2L1,BCL2L11,BCL2L2,BCL6,BCLAF1,BCR,BIRC3,BMPR1A,BRAF,BRCA1,BTK,CALR,CASP8,CBL,CBLB,CCND1,CD40,CDC25A,CDH1,CDH2,CDKN1B,CEBPA,CFTR,CHEK2,CREBBP,CRKL,CSF3R,CTC1,CTNNA1,CTNNB1,CTRC,CUL3,DAXX,DDB2,EBF1,EGF,EGFR,EGLN1,ELOC,EP300,EPCAM,EPHB2,ERBB2,ERBB3,ERBB4,ESR2,ETV4,ETV5,FAS,FBXO11,FBXW7,FGF1,FGF2,FGF5,FGF7,FGFR1,FGFR2,FGFR3,FGFR4,FH,FLG,FOXO1,FOXO3,FRS2,FYN,GPS2,GSK3B,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HLA-A,HRAS,HSP90AA1,IFNAR1,IFNAR2,IFNGR1,IGF1,IGF1R,IGF2,INPPL1,INSR,IRS1,IRS2,ITPKB,JAK1,JAK2,KDM5C,KEAP1,KLF4,KRAS,LDLR,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K7,MAPK1,MCL1,MDM2,MDM4,MET,MIB1,MS4A1,MTOR,MYC,NCOA3,NCOR1,NCOR2,NF2,NFE2L2,NOTCH1,NOTCH2,NRAS,NRIP1,PARK2,PARP1,PDGFRA,PDPK1,PGR,PIAS4,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PLCG2,PPP1CA,PPP2R2A,PRAME,PREX2,PRKAR1A,PRKCI,PRKCZ,PRKDC,PRSS1,PRSS8,PTEN,PTK2,PTPN11,PTPN13,RAB35,RAC1,RAF1,RARA,RASA1,RB1,RET,RHOA,RICTOR,RINT1,RIT1,RPS6KB1,RPTOR,RUNX1T1,RXRA,SDHA,SDHB,SEC23B,SKP1,SMAD2,SMAD3,SMAD4,SOCS1,SOD2,SOX2,SQSTM1,SRC,STAT3,STAT5A,STAT5B,STAT6,STK11,SYK,TBC1D12,TBL1XR1,TBX3,TCF3,TCF7L2,TET2,TGFBR1,TGFBR2,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3,TSC1,TSC2,TUSC3,VHL,YAP1,ZNF471,ZNF750"	216
NeST:10	Chromatin binding	"ARID1A,ARID1B,ARID2,ATRX,BARD1,BCL11B,BCL7A,BCLAF1,BRD4,CASP8,CDC73,CDK12,CHD2,CHD4,CREBBP,CTCF,CTNNB1,DDX3X,DNMT1,DNMT3A,DNMT3B,E2F1,EMSY,EP300,EWSR1,EZH2,FUBP1,FUS,GATA3,HDAC1,HDAC2,HDAC3,HIST1H1E,HIST3H3,ING1,IRF2,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,MAGI2,MDM2,MEN1,MTA1,MYC,PALB2,PARP1,PBRM1,PHF6,PPP1CC,PRCC,PRDM1,PRKDC,PRPF40B,PTPN11,RAD21,RANBP2,RB1,RBM10,RSF1,RUNX1,SF1,SF3B1,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TERT,TNF,TOP1,TOP2A,TP53,U2AF1,UPF1,WRN,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2"	91
NeST:102	CDK holoenzyme complex II	"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CKS1B,HLA-A,TP53"	17
NeST:104	MAPK and MAP2K activation	"ARAF,BRAF,CDC25A,HDAC4,HDAC5,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MYC,RAF1,STAT3,STAT5A"	14
NeST:105	Ubiquitin regulation of p53 activity	"CUL3,ELOC,FBXW7,HSP90AA1,MDM2,SKP1,STK11,TNF,VHL"	9
NeST:107	HDACs deacetylate histones	"ANKRD11,AR,BCL6,CREBBP,GPS2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,NCOA3,NCOR1,NCOR2,PML,RUNX1T1,TBL1XR1"	16
NeST:108	EMT	"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,ERBB2,FYN,HDAC1,HDAC2,SOX2,TCF7L2"	14
NeST:11	Metabolic pathways	"APOB,ATP7B,CD276,CYP1B1,CYP2D6,CYP3A5,GPC3,HNF1A,HNF1B,IDH1,MST1,TPMT"	12
NeST:110	CDK holoenzyme complex I	"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CKS1B,RB1,TP53"	15
