"All_Genes","Annotation","C_rho_mean_cell","C_rho_mean_genie","cellvsgenie","cellvsgenie_ratio","Direct_Genes","Importance","name","NEST ID","P_rho_cell_bins","P_rho_genie_bins","P_rho_mean_cell","P_rho_mean_genie","RLIPP_cell","RLIPP_genie","selected","shared name","Size-Log","Size_All","Size_Direct"
"BCLAF1,BRD4,CASP8,CDC73,CREBBP,DDX3X,EWSR1,FUBP1,FUS,GATA3,PRCC,PRKDC,PRPF40B,RBM10,SF1,SF3B1,SPEN,SRSF2,TNF,U2AF1,UPF1,ZRSR2","mRNA splicing","0.375","0.332","cells ~ clinical","0.8981132075471698","BRD4,DDX3X,FUBP1,GATA3,PRCC,PRKDC","0","mRNA splicing","NEST:19","1","1","0.371","0.3332","0.9884","1.0034","false","mRNA splicing","1.3424226808222062","22","6"
"BARD1,BLM,BRCA1,BRCA2,BUB1B,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CHEK1,CKS1B,CREBBP,CTNNB1,E2F1,E2F4,EP300,FANCD2,HDAC1,HLA-A,MSH2,MSH6,MYC,RAD51,RAD51C,RB1,RBL1,RBL2,TERT,TOP2A,TP53,WRN","Regulation of CDK activity I","0.6988","0.6434","cells ~ clinical","0.9001434720229555","CDK5,CDKN1C,MSH2,MSH6,TERT","1","Regulation of CDK activity","NEST:50","4","4","0.697","0.6274","0.9968","0.974","false","Regulation of CDK activity","1.6127838567197355","41","5"
"AURKA,AURKB,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CCNE1,CDKN1A,CDKN1B,CHEK1,CKS1B,FANCD2,MKI67,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,POLD1,POLE,RAD51,RAD51C,RB1,TERT,TOP2A,TP53,WRN,XRCC2","DNA metabolic process","0.5714","0.504","cells ~ clinical","0.7957317073170732","CCNE1,CDKN1A,CDKN1B,CKS1B,MLH3,POLD1,POLE,RB1,TERT,XRCC2","1","DNA metabolic process","NEST:30","4","3","0.656","0.522","1.1536","1.0374","false","DNA metabolic process","1.505149978319906","32","10"
"CTNNB1,EP300,EZH2,HIST3H3,TP53","H3-ac. & H3K4-me crosstalk","0.2676","0.294","cells ~ clinical","1.3797121315969842","CTNNB1,EP300,EZH2,HIST3H3,TP53","1","H3 acetylation and H3K4 methylation crosstalk","NEST:155","0","2","0.2918","0.4026","18.6706","0.2196","false","H3 acetylation and H3K4 methylation crosstalk","0.6989700043360189","5","5"
"RAD21,SMARCA4,SMC1A,SMC3,STAG1,STAG2","Extended cohesin complex","0.3496","0.2032","cell","0.581353919239905","SMARCA4","0","Extended cohesin complex","NEST:121","1","0","0.3368","0.1958","0.9546","0.9598","false","Extended cohesin complex","0.7781512503836436","6","1"
"AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53","DNA replication dependent nucleosome assembly","0.3178","0.3174","cells ~ clinical","1.0680197476686781","AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53","1","DNA replication dependent nucleosome assembly","NEST:94","1","1","0.3646","0.3894","1.2812","-0.6164","false","DNA replication dependent nucleosome assembly","1.0413926851582251","11","11"
"BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53","BRCA1 mediated protein ubiquitination","0.3424","0.426","cells ~ clinical","0.8234051542036332","BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53","1","BRCA1 mediated protein ubiquitination","NEST:70","2","1","0.4734","0.3898","1.7934","0.9218","false","BRCA1 mediated protein ubiquitination","1.0413926851582251","11","11"
"ATM,AURKA,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CDC73,CHEK1,FANCA,FANCD2,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51,RAD51B,RAD51C,RAD51D,TOP2A,TP53,WRN,XRCC2,XRCC3","Recombinational repair","0.448","0.498","cells ~ clinical","0.9086538461538463","ATM,AURKA,BRIP1,CDC73,FANCA,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51B,RAD51D,XRCC2,XRCC3","1","Recombinational repair","NEST:79","2","2","0.4992","0.4536","1.1304","0.9142","false","Recombinational repair","1.462397997898956","29","17"
"ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS","FGFR-ERBB-RAS signaling","0.3546","0.2864","cells ~ clinical","0.9366373902132998","ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS","1","FGFR-ERBB-RAS signaling","NEST:256","1","0","0.3188","0.2986","0.8988","1.0474","false","FGFR-ERBB-RAS signaling","0.7781512503836436","6","6"
"ATM,ATR,BRCA1,BUB1B,CCND1,CCNE1,CDKN1A,CDKN1B,CDKN2A,CHEK2,CKS1B,CREBBP,E2F1,E2F2,E2F4,E2F5,EP300,HDAC1,MDM2,MDM4,MYC,NPM1,PARP1,RB1,RBL1,RBL2,TFDP1,TP53,TP63","Cell cycle arrest","0.5808","0.5856","cells ~ clinical","0.9770572040379321","BRCA1,BUB1B,CCND1,CCNE1,CDKN1B,CDKN2A,CKS1B,E2F5,HDAC1,MYC,NPM1,PARP1,TP63","1","Cell cycle arrest","NEST:65","4","4","0.6538","0.6388","1.1254","1.1008","false","Cell cycle arrest","1.462397997898956","29","13"
"ACVR1B,AKT2,AKT3,ALK,BMPR1A,CCND1,EBF1,EGLN1,FOXO1,FOXO3,IGF1R,INSR,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PTEN,RARA,SMAD4,SOD2,TGFBR1,TGFBR2","AKT/activin signaling","0.3566","0.3132","cells ~ clinical","0.6640866873065016","ACVR1B,AKT2,AKT3,ALK,BMPR1A,CCND1,EBF1,EGLN1,FOXO1,FOXO3,IGF1R,INSR,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PTEN,RARA,SMAD4,SOD2,TGFBR1,TGFBR2","0","AKT/activin signaling","NEST:52","3","1","0.5168","0.3432","1.475","1.182","false","AKT/activin signaling","1.3979400086720377","25","25"
"BCL11B,CHD4,CREBBP,DNMT1,E2F1,EZH2,HDAC1,HDAC2,ING1,IRF2,MTA1,PALB2,PARP1,RUNX1,TP53,ZBTB2","Nucleosome remodeling","0.4326","0.3906","cells ~ clinical","0.8772357723577235","BCL11B,CHD4,CREBBP,DNMT1,E2F1,EZH2,HDAC1,HDAC2,ING1,IRF2,MTA1,PALB2,PARP1,RUNX1,TP53,ZBTB2","1","Nucleosome remodeling","NEST:55","2","2","0.492","0.4316","1.1482","1.3584","false","Nucleosome remodeling","1.2041199826559248","16","16"
"AKT1,CTNNB1,EGF,EGFR,NF2,PTEN","AKT1 activation","0.2874","0.3386","cells ~ clinical","0.9920440636474909","AKT1,CTNNB1,EGF,EGFR,NF2,PTEN","0","AKT1 activation","NEST:169","1","1","0.3268","0.3242","1.419","0.9584","false","AKT1 activation","0.7781512503836436","6","6"
