All_Genes,Annotation,Direct_Genes,name,NEST ID,shared name,Size-Log,Size_All,Size_Direct
"BCLAF1,BRD4,CASP8,CDC73,CREBBP,DDX3X,EWSR1,FUBP1,FUS,GATA3,PRCC,PRKDC,PRPF40B,RBM10,SF1,SF3B1,SPEN,SRSF2,TNF,U2AF1,UPF1,ZRSR2",mRNA splicing,"BRD4,DDX3X,FUBP1,GATA3,PRCC,PRKDC",mRNA splicing,NEST:19,mRNA splicing,1.3424226808222062,22,6
"BARD1,BLM,BRCA1,BRCA2,BUB1B,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CHEK1,CKS1B,CREBBP,CTNNB1,E2F1,E2F4,EP300,FANCD2,HDAC1,HLA-A,MSH2,MSH6,MYC,RAD51,RAD51C,RB1,RBL1,RBL2,TERT,TOP2A,TP53,WRN",Regulation of CDK activity I,"CDK5,CDKN1C,MSH2,MSH6,TERT",Regulation of CDK activity,NEST:50,Regulation of CDK activity,1.6127838567197355,41,5
"AURKA,AURKB,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CCNE1,CDKN1A,CDKN1B,CHEK1,CKS1B,FANCD2,MKI67,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,POLD1,POLE,RAD51,RAD51C,RB1,TERT,TOP2A,TP53,WRN,XRCC2",DNA metabolic process,"CCNE1,CDKN1A,CDKN1B,CKS1B,MLH3,POLD1,POLE,RB1,TERT,XRCC2",DNA metabolic process,NEST:30,DNA metabolic process,1.505149978319906,32,10
"CTNNB1,EP300,EZH2,HIST3H3,TP53",H3-ac. & H3K4-me crosstalk,"CTNNB1,EP300,EZH2,HIST3H3,TP53",H3 acetylation and H3K4 methylation crosstalk,NEST:155,H3 acetylation and H3K4 methylation crosstalk,0.6989700043360189,5,5
"RAD21,SMARCA4,SMC1A,SMC3,STAG1,STAG2",Extended cohesin complex,SMARCA4,Extended cohesin complex,NEST:121,Extended cohesin complex,0.7781512503836436,6,1
"AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53",DNA replication dependent nucleosome assembly,"AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53",DNA replication dependent nucleosome assembly,NEST:94,DNA replication dependent nucleosome assembly,1.0413926851582251,11,11
"ATM,AURKA,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CDC73,CHEK1,FANCA,FANCD2,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51,RAD51B,RAD51C,RAD51D,TOP2A,TP53,WRN,XRCC2,XRCC3",Recombinational repair,"ATM,AURKA,BRIP1,CDC73,FANCA,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51B,RAD51D,XRCC2,XRCC3",Recombinational repair,NEST:79,Recombinational repair,1.462397997898956,29,17
"BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53",BRCA1 mediated protein ubiquitination,"BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53",BRCA1 mediated protein ubiquitination,NEST:70,BRCA1 mediated protein ubiquitination,1.0413926851582251,11,11
"ATM,ATR,BRCA1,BUB1B,CCND1,CCNE1,CDKN1A,CDKN1B,CDKN2A,CHEK2,CKS1B,CREBBP,E2F1,E2F2,E2F4,E2F5,EP300,HDAC1,MDM2,MDM4,MYC,NPM1,PARP1,RB1,RBL1,RBL2,TFDP1,TP53,TP63",Cell cycle arrest,"BRCA1,BUB1B,CCND1,CCNE1,CDKN1B,CDKN2A,CKS1B,E2F5,HDAC1,MYC,NPM1,PARP1,TP63",Cell cycle arrest,NEST:65,Cell cycle arrest,1.462397997898956,29,13
"ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS",FGFR-ERBB-RAS signaling,"ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS",FGFR-ERBB-RAS signaling,NEST:256,FGFR-ERBB-RAS signaling,0.7781512503836436,6,6
