drug,gene,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Daporinad,ABCB1,-0.045669012348589076,0.05087662160818786,0.18322253967515723,0.13740166335881443,1.0,1.0,0.3132232940161021,0.18544059077373828,0.2968494550284232,0.1831172051816775
Daporinad,ABCC3,0.08427469678257747,0.07142477298767684,0.014010176882305547,0.037103625973201604,1.0,1.0,0.05239222396612179,0.05829409945023797,0.0377814347474005,0.05660142375798602
Daporinad,ABL1,0.025234786193417482,0.08374923213815968,0.46174884770930236,0.014527686628090786,1.0,1.0,0.6231873546151863,0.025014098318870946,0.5913289946841475,0.024423521558561992
Daporinad,ABL2,-0.22885716591436395,-0.12968356642545323,2.5425439531545635e-11,0.0001576311305626632,1.8255465583649766e-08,0.11317915174399218,9.127732791824883e-09,0.00039435244510101805,6.761283549499913e-10,0.00039004877108785355
Daporinad,ACTA2,0.0682948698521261,0.171100911761897,0.04646051775311477,6.016145615017621e-07,1.0,0.00043195925515826517,0.12447258114453882,2.52607751554541e-06,0.10050309338710442,2.2507646816757195e-06
Daporinad,ACVR1B,0.01008571084913675,0.1791244359955556,0.7684753330518999,1.745079838411101e-07,1.0,0.00012529673239791705,0.8559727109774827,8.465995432291693e-07,0.8402517093369505,7.075580182470611e-07
Daporinad,ADGRA2,-0.017216293267603707,0.06505490135830028,0.6160246988709188,0.05757667560171731,1.0,1.0,0.7371762229821995,0.08576774498347102,0.7244975164444221,0.08371256108410333
Daporinad,AJUBA,-0.0963359664259058,0.016150151398540508,0.0049872531515344765,0.6361559213919186,1.0,1.0,0.025217237766209537,0.6994792520052029,0.016063616132194786,0.692322776141565
Daporinad,AKT1,0.08126183795277035,0.1804912410625767,0.017827740578192808,1.4059060315929628e-07,1.0,0.00010094405306837473,0.062137464733701145,6.961658832301705e-07,0.046085752421754944,5.781998266446285e-07
Daporinad,AKT2,0.009727287617688775,0.15922751450175018,0.7764704174117858,3.4085638944691965e-06,1.0,0.002447348876228883,0.8582340698531656,1.217586505586509e-05,0.8465575482448932,1.1413986208607306e-05
Daporinad,AKT3,0.0010467197621445447,0.19000670467038303,0.9753649650453631,2.9920718569442784e-08,1.0,2.148307593285992e-05,0.9794574054581409,1.7186460746287935e-07,0.983746809669107,1.383030639454501e-07
Daporinad,ALK,0.06647298275448082,0.08016989072974902,0.05261386246430377,0.019305048194907082,1.0,1.0,0.13491697589060753,0.03208570510172057,0.1109992749736634,0.03146061949069783
Daporinad,ALOX12B,0.009601015729443552,0.25711025042737695,0.7792927711386672,6.461498003318411e-14,1.0,4.639355566382619e-11,0.8582340698531656,1.4058653231462481e-12,0.8480973242554953,7.383589760821144e-13
Daporinad,AMER1,0.046310490179588944,0.1416090769268722,0.17690898225395602,3.614113660566076e-05,1.0,0.025949336082864427,0.30750401723510434,0.00010463441968896946,0.28841017807002556,0.00010100292993654658
Daporinad,ANKRD11,0.012514714646455366,0.032798661313026035,0.714979999325865,0.3378254991771552,1.0,1.0,0.8161456908044055,0.4111164549308431,0.8030305836136745,0.40409614062340266
Daporinad,APC,0.1041274753389314,0.1428919185151732,0.0023996434755062523,3.069340466721471e-05,1.0,0.02203786455106016,0.014726017225756317,9.069080062164675e-05,0.008716411545093537,8.693437692725901e-05
Daporinad,APOB,0.1047301142453747,0.15423517541200749,0.0022635139724138664,6.828205068476478e-06,1.0,0.0049026512391661115,0.014132200279940488,2.323531392969721e-05,0.008291852205067124,2.1749284609979052e-05
Daporinad,AR,0.04434293500423602,0.08875761358676418,0.19601839369736762,0.009598592760625024,1.0,1.0,0.3293465819375234,0.017101214893619772,0.31293208821503044,0.016798999639558238
Daporinad,ARAF,-0.03118485458786285,0.02618993244281307,0.3635189048997076,0.4438001243698293,1.0,1.0,0.5223209536884491,0.5181276248740446,0.4961823764055039,0.5121593720292592
Daporinad,ARFRP1,0.007539000785888559,0.009064919528079135,0.8257680404515109,0.7898472126454228,1.0,1.0,0.8862902130990665,0.8289537254681533,0.8810225149528611,0.8285029929575071
Daporinad,ARHGAP26,-0.06573518145377484,0.0024481987884697257,0.05538631483953482,0.9413308091679213,1.0,1.0,0.14002596498164085,0.9473711536225393,0.11585542332057103,0.9532397446433688
Daporinad,ARHGAP35,-0.08395569202421146,-0.02924259207197763,0.014406402799607143,0.39512857302938986,1.0,1.0,0.05359480419750222,0.46970582025679125,0.038728725903717676,0.46325048104792804
Daporinad,ARID1A,-0.029230571037412622,0.008161232545569165,0.3943737840101047,0.8102047787783153,1.0,1.0,0.554129896123787,0.8418625631878877,0.5265650895755559,0.8447149532858137
Daporinad,ARID1B,0.013810735656861433,0.10503077919993864,0.6869809842401402,0.002180988517112681,1.0,1.0,0.7955683011039043,0.004386413880355476,0.7806684463483313,0.0043458365086593105
Daporinad,ARID2,-0.07564920798823059,0.10393001154571108,0.02746600149243328,0.0024268323459102348,1.0,1.0,0.0850025391015823,0.004800180783370658,0.06579012200689606,0.004791381185234323
Daporinad,ARID5B,-0.16809020007129688,0.14918556451492748,9.60736730393208e-07,1.3505388085865988e-05,0.0006898089724223233,0.00969686864565178,4.5005830251743095e-05,4.309719398067457e-05,9.311257220548796e-06,4.064352907712936e-05
Daporinad,ASNS,0.017307507031555064,0.0979147913333159,0.6136378773446287,0.0042774217553041005,1.0,1.0,0.7367759129321796,0.008124838148963873,0.72234834451404,0.008067921594505284
Daporinad,ASXL1,0.159214260763171,0.17120703362666978,3.4586477068998533e-06,5.920512067270067e-07,0.0024833090535540947,0.00042509276642999083,0.00011825281207400451,2.500545684882299e-06,2.9158227634686045e-05,2.216911428578831e-06
Daporinad,ASXL2,0.01200655713022018,0.0470964869236945,0.7260662222779839,0.16903029032378214,1.0,1.0,0.8261736095017312,0.2226871724525237,0.8115965971908549,0.22002932585579468
Daporinad,ATIC,-0.03174355619759757,0.016822269650960328,0.3549832649215956,0.6222415464100335,1.0,1.0,0.5138669036566647,0.6862817670083011,0.4881940639368664,0.6795833646683798
Daporinad,ATM,0.050338547103339154,0.08459138758832396,0.1421713844752599,0.013568176458944814,1.0,1.0,0.2679240263864478,0.023446154027109995,0.24362542733469358,0.022971783920272847
Daporinad,ATP7B,0.05710467918533775,0.07466433293658944,0.09591521048177598,0.029326322586536557,1.0,1.0,0.20557349589825416,0.047118187307029075,0.17848929881446693,0.04593266595266297
Daporinad,ATR,0.036191870654646616,0.21721081315561358,0.29125491512532786,2.3727841913512293e-10,1.0,1.7036590493901826e-07,0.4430530276694606,2.241656643934451e-09,0.4214025774508522,1.5313789208001642e-09
Daporinad,ATRX,0.08310448937297542,0.1916883385875641,0.015397569830123414,2.2585878944880733e-08,1.0,1.6216661082424366e-05,0.05576775022493213,1.3535695574852776e-07,0.04089564169431052,1.0663010026799583e-07
Daporinad,AURKA,0.03049560066049692,0.057176833055661465,0.3738286586493649,0.09507365034450488,1.0,1.0,0.5315029245747406,0.13332593935030176,0.5065913373581201,0.13150659357332703
Daporinad,AURKB,0.09001715433854221,0.12203546465319756,0.008680258873386304,0.00037059219695989576,1.0,0.26608519741720515,0.037319915395756686,0.0008695594686836769,0.025464457083110792,0.0008564974165789866
Daporinad,AXIN1,-0.024002906726092763,0.12450292013430835,0.48434942369329437,0.0002810967562476563,1.0,0.20182747098581721,0.6404473042574316,0.0006717531767504468,0.6125282011656281,0.0006644525793771761
Daporinad,AXIN2,0.0974563848397021,0.18923205999959455,0.0044936681561149605,3.403235027121809e-08,1.0,2.443522749473459e-05,0.024078012955899564,1.8942036817623714e-07,0.014743886075051981,1.551443015538704e-07
Daporinad,AXL,-0.0032425578590541764,0.018665206375616396,0.9249872520303244,0.5847860983804609,1.0,1.0,0.9474191825360527,0.6540131131420108,0.9537685691112104,0.6462122641587856
Daporinad,B2M,0.06925851445164376,0.2341770438436593,0.04345855534488585,8.5096374391469e-12,1.0,6.109919681307474e-09,0.11730542382566933,1.1980234669230342e-10,0.09515601343114015,6.923421735192605e-11
Daporinad,BAP1,0.06423055466987362,0.20594421176890698,0.061108547558646586,1.894997714302349e-09,1.0,1.3606083588690865e-06,0.15129633499002842,1.4474557009245601e-08,0.12497299923220959,1.0432779748516958e-08
Daporinad,BARD1,0.12552579204451098,0.34761447827772285,0.00025272272939580454,0.0,0.18145491970618766,0.0,0.0029746708148555355,0.0,0.0012748589206523723,0.0
Daporinad,BCAR1,-0.0605569881553214,0.15204475837662465,0.07758270181942417,9.202422987630854e-06,1.0,0.006607339705118953,0.17837632505083678,3.0448570069672593e-05,0.15051847756725031,2.862385431820485e-05
Daporinad,BCL10,-0.07202681952829429,-0.06102203601665885,0.03579605146234721,0.07558649852563759,1.0,1.0,0.10239667310743147,0.10854221188281558,0.08131436485002018,0.10704360146234278
Daporinad,BCL11B,-0.1533216540986254,-0.005231108400475702,7.858360894230643e-06,0.8805324314107486,0.005642303122057601,1.0,0.0001979330533375586,0.9057625870385638,6.023811162339076e-05,0.9044667893460907
Daporinad,BCL2,-0.1200854524121804,-0.0452971829881629,0.0004649772129419194,0.18736039287151574,0.33385363889229813,1.0,0.004619541787100871,0.2432635842346262,0.002140087428796783,0.2407242983866656
Daporinad,BCL2L1,-0.02037025539981112,0.08302371108512831,0.5528925503259381,0.015401777606025346,1.0,1.0,0.6927162044933473,0.026267164658257004,0.6723672849129545,0.02573733821829216
Daporinad,BCL2L11,-0.025700350822141754,0.06617985956096988,0.45397458157284465,0.05339585503614952,1.0,1.0,0.6173366469115577,0.0801335732061703,0.5843464805399102,0.07825458190023206
Daporinad,BCL2L12,0.00862762581220148,0.10103042845652625,0.801144510767007,0.0032006442159120407,1.0,1.0,0.8702295896077322,0.006210979856823906,0.8630484001961155,0.0061803564689148684
Daporinad,BCL2L2,-0.006110152711604475,0.12003425366027375,0.8589234277729383,0.0004620564278023931,1.0,0.33175651516211824,0.9109409470324515,0.0010465505210161458,0.9064777380807982,0.0010471010473291475
Daporinad,BCL6,-0.02175449993683512,-0.0027086086746466492,0.5262227992476274,0.938822144872208,1.0,1.0,0.6777076010372634,0.9473711536225393,0.6500107378731675,0.9516343059081112
Daporinad,BCL7A,0.0679488263537059,0.15924326376026737,0.04758028045270746,3.4009915099719734e-06,1.0,0.002441911904159877,0.12699866678455002,1.217586505586509e-05,0.10251355248325267,1.1393057095613733e-05
Daporinad,BCLAF1,0.035667910361300764,0.052801724211627245,0.2982938778853197,0.12315536348520673,1.0,1.0,0.45184600067860664,0.16810941251402742,0.42920842549430765,0.16582381806353197
Daporinad,BCOR,0.11543803893381381,0.11607138068092583,0.0007642620354435525,0.0007084136536372743,0.5487401414484707,0.5086410033115629,0.006138141864261619,0.0015696760432255248,0.003266310365764707,0.0015444564877881465
Daporinad,BCORL1,0.06104463712392967,0.14130689047157646,0.07510235821150446,3.7551898307564e-05,1.0,0.026962262984830954,0.1749325883337277,0.00010784905193932382,0.14646489777055738,0.00010464008920374238
Daporinad,BCR,0.0014677978665771794,0.1909415579895368,0.9655780517865369,2.559765066578734e-08,1.0,1.837911317803531e-05,0.9750844461079233,1.506484686724206e-07,0.9787553522579767,1.1973363633899226e-07
Daporinad,BIRC3,0.0758511410435322,0.11540475325713864,0.027004481486978982,0.0007602751105431071,1.0,0.5458775293699509,0.08430094655500395,0.0016541743314240937,0.06497364213678049,0.001645861897597842
Daporinad,BLM,0.03207353488654904,0.06536853826705886,0.34962244438582113,0.05638457794022056,1.0,1.0,0.5071291213515547,0.08416658411866602,0.4825932362749495,0.08221518421610091
Daporinad,BMPR1A,0.01816914414718309,0.07700408497371786,0.5961088364267184,0.024621635940262454,1.0,1.0,0.718131115024134,0.04017803319342828,0.7085175550458185,0.03923432869637531
Daporinad,BRAF,-0.06419506953415315,0.07466077665240815,0.06135359620149283,0.029334024688359328,1.0,1.0,0.15138103805041872,0.047118187307029075,0.1252660153725266,0.04593637890129116
Daporinad,BRCA1,0.05644081310203636,0.12448670191523978,0.09983876618865706,0.0002816124041808976,1.0,0.2021977062018845,0.21208353290963244,0.0006717531767504468,0.18435722449238517,0.0006654888849211777
Daporinad,BRCA2,-0.006681172505312213,0.08824736496683935,0.8458703836477226,0.010021465632567228,1.0,1.0,0.8997554599393552,0.017766450183168567,0.8962148580310844,0.01743990060395864
Daporinad,BRD4,-0.09420354654124062,0.06407217498285973,0.006038283020163293,0.061448324505531504,1.0,1.0,0.029248011073498746,0.09009368610960637,0.01887045574962892,0.08881710517357146
Daporinad,BRIP1,0.096872944949626,0.10209604360942327,0.0047392099182550496,0.0028933377177224884,1.0,1.0,0.024791780006178807,0.0056605353714570756,0.015426155140039859,0.0056298549629396925
Daporinad,BTG1,0.13769313237845546,0.2826261204676611,5.965616379399741e-05,2.220446049250313e-16,0.04283312560409014,1.5942802633617248e-13,0.0009518472356464475,8.857112574231804e-15,0.00036248061160019864,3.4595593418337607e-15
Daporinad,BTK,0.014939086758304727,0.056072333257045824,0.6629475503934286,0.10162654146849537,1.0,1.0,0.7828029847514122,0.14183962103955794,0.7623435519718533,0.13971825136310134
Daporinad,BUB1B,0.10561217938758828,0.18761789778174331,0.0020769894064998073,4.443476186999362e-08,1.0,3.190415902265542e-05,0.01331498565952555,2.416981744140562e-07,0.007700232670568992,1.9940099389159638e-07
Daporinad,C11orf65,-0.0038562758454030017,0.0495472747652083,0.9107888863070897,0.14795868409579693,1.0,1.0,0.9395781901846126,0.1978293020126298,0.9428519817880433,0.195703411447557
Daporinad,C3orf70,0.06393376026445556,0.03449942491269884,0.062313618388105674,0.31342724501362684,1.0,1.0,0.1526801856001779,0.38272238421731986,0.12677547485995713,0.37896283230948763
Daporinad,C8orf34,-0.05237742019006788,-0.014455288885805908,0.12689775108611134,0.6750502605657582,1.0,1.0,0.24962352131459709,0.7321542101000218,0.22345207916573379,0.7271200206319005
Daporinad,CADM2,-0.027487420884237397,0.04276481555073188,0.4231901578343811,0.21165202488305135,1.0,1.0,0.5888576227230341,0.2684914379258496,0.5555700746458978,0.2678604357215585
Daporinad,CALR,-0.09646290824072606,0.053021959810569244,0.004930245645090148,0.12160192886645915,1.0,1.0,0.025105789880671817,0.16630511414498603,0.015915697444022745,0.16386021568867878
Daporinad,CARD11,0.10332232440408361,0.11908337752228113,0.0025932170562208423,0.0005125367947294013,1.0,0.3680014186157101,0.015779066494631906,0.001150004433174094,0.009305771826904948,0.001151203603594505
Daporinad,CASP8,0.093986063901637,0.27424984019924964,0.006142202710314848,1.3322676295501878e-15,1.0,9.565681580170349e-13,0.029248011073498746,4.7828407900851745e-14,0.019138638456053687,1.8910737885015516e-14
Daporinad,CASR,0.023692986465460524,0.08154892785115192,0.4895490612827287,0.017322337835538715,1.0,1.0,0.6449472036715581,0.02912749078669039,0.6175629153751084,0.028558986374091384
Daporinad,CBFB,-0.08805779767209657,0.01782142910354527,0.010271738915574424,0.6018049481345149,1.0,1.0,0.04166727989481603,0.6678453674815792,0.029246960507795516,0.6614336341369725
Daporinad,CBL,0.07075628019483894,0.15206408345934613,0.03911868932993978,9.178384890118352e-06,1.0,0.006590080351104977,0.10829607796344388,3.0448570069672593e-05,0.08745371750564639,2.855939480435526e-05
Daporinad,CBLB,-0.03465277108243903,-0.1100995002394874,0.31260493520307264,0.0013377702701093952,1.0,0.9605190539385458,0.47012456384835155,0.0028003470960307458,0.4458540178297755,0.0027713942407459843
Daporinad,CBLC,-0.13505637693896874,-0.022991562862330034,8.265512926430851e-05,0.504067458295246,0.05934638281177351,1.0,0.0012599625158542238,0.5818656512154126,0.00048347358706129134,0.5705233330119883
Daporinad,CBR3,-0.17474122591017252,-0.005063572243495065,3.5170935963613204e-07,0.884387366614735,0.0002525273202187428,1.0,2.29570291107948e-05,0.9084265081965377,3.835858028639131e-06,0.9073447905159034
Daporinad,CCDC6,0.1778078637874102,0.22843247248947954,2.1773227887322832e-07,2.6973978606292803e-11,0.00015633177623097794,1.9367316639318233e-08,1.865699932792866e-05,3.397774849003199e-10,2.4814567655710786e-06,2.0052441731822156e-10
Daporinad,CCND1,0.05483068828402009,0.26750306106672406,0.10988724688154394,6.217248937900877e-15,1.0,4.4639847374128294e-12,0.22695441558326426,1.8599936405886788e-13,0.19919808944485223,8.09181523398096e-14
Daporinad,CCND2,0.08759842958530754,0.12073265316141696,0.010652683667980334,0.00042797741995315164,1.0,0.3072877875263629,0.0425287920921811,0.0009817501198925332,0.030132476192816338,0.0009773266499645784
Daporinad,CCND3,0.16197610129462547,0.14013491897363098,2.3351024991402625e-06,4.353352471464511e-05,0.0016766035943827085,0.03125707074511519,8.824229444119518e-05,0.00012305933364218578,2.0384238229577002e-05,0.00011975889174373636
Daporinad,CCNE1,-0.007689936049456787,0.20426505943464363,0.8229160801895694,2.5596134101135704e-09,1.0,1.8378024284615435e-06,0.8858376995144089,1.8378024284615434e-08,0.8788107271831098,1.3887675781825266e-08
Daporinad,CCNE2,-0.0035427865463755577,0.0510277246058472,0.918038191365107,0.13623940585761174,1.0,1.0,0.9456978786228791,0.1842182550014411,0.9487543895039136,0.18182136320774206
Daporinad,CD19,0.11299384690738391,0.18211407905062843,0.0009871112131063509,1.0855422449829177e-07,0.7087458510103599,7.79419331897735e-05,0.0070874585101036,5.412634249289826e-07,0.004065463772525965,4.5293133088488227e-07
Daporinad,CD22,0.010224746004835243,0.1479861979047722,0.765380543163984,1.583186581455287e-05,1.0,0.01136727965484896,0.8559727109774827,4.963877578536664e-05,0.8380377125302944,4.705324451817438e-05
Daporinad,CD274,0.01838587844295831,0.045531780503990926,0.5917357958154816,0.18361481147530068,1.0,1.0,0.7159825208945654,0.23883230912910486,0.7048798032277327,0.23647611594487153
Daporinad,CD276,0.11537454958232216,0.2542790964986477,0.000769404969057863,1.2101430968414206e-13,0.5524327677835457,8.6888274353214e-11,0.006138141864261619,2.3483317392760543e-12,0.0032824267343914562,1.3248529761608234e-12
Daporinad,CD40,0.09241668357383184,0.17805069219310135,0.0070527362692742734,2.0657638377663545e-07,1.0,0.00014832184355162426,0.0318482052914398,9.694238140629036e-07,0.02145705356499546,8.259220986633369e-07
