drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Daporinad,Cell,-0.16235931949964408,-0.08529269855289032,2.2587082151304116e-06,0.012979787720823088,0.0002958907761820839,1.0,2.0268798141334643e-05,0.030363431989782582,2.1261612659790462e-05,0.031020653276025312
Daporinad,Signaling pathways,0.2486852587023236,0.2393171055070868,4.3920422854171193e-13,3.1108449149996886e-12,5.753575393896426e-11,4.075206838649592e-10,1.9178584646321422e-11,1.358402279549864e-10,2.3014301575585704e-11,1.0404783417828745e-10
Daporinad,Chromatin binding,0.06762607593748904,0.12473247632420904,0.04889131496895205,0.00027863360991475794,1.0,0.03650100289883329,0.09704185243837453,0.001351888996253085,0.09583185427829503,0.0010788473763201957
Daporinad,CDK holoenzyme complex II,0.042897055310254666,0.08621471407695007,0.21155317358460968,0.011996508239829895,1.0,1.0,0.29799425526434264,0.029651746781466343,0.31433042426749186,0.02919274141333219
Daporinad,MAPK and MAP2K activation,-0.04651430899966685,0.08144001176309383,0.17548184494117436,0.01763736859969134,1.0,1.0,0.25944903044332124,0.037266053009025246,0.2705843151568011,0.040357996271782805
Daporinad,Ubiquitin regulation of p53 activity,-0.1557022291665896,-0.14883538776320715,5.7632339434121604e-06,1.4540986838840197e-05,0.000754983646586993,0.0019048692758880659,4.194353592149961e-05,0.00011205113387576859,4.8448148444085116e-05,8.42916925958989e-05
Daporinad,HDACs deacetylate histones,0.040869814388862044,0.028470976104750155,0.23394317623313565,0.4065480732985245,1.0,1.0,0.32259532722674494,0.49773642618791314,0.3411490473455373,0.505612002551646
Daporinad,EMT,-0.009073941498055264,0.008939531200653808,0.7915115675170106,0.7941165168620727,1.0,1.0,0.8265327249859119,0.8669105309077627,0.8487422811301095,0.8383822461431688
Daporinad,Metabolic pathways,0.025796916930773104,0.07257102981538831,0.4524933068293555,0.03445023771275224,1.0,1.0,0.5465467462645389,0.06540552377348614,0.5658866176099816,0.0690762419444471
Daporinad,CDK holoenzyme complex I,0.030514448139202066,0.07004708412785916,0.3741843247878136,0.04122784973188098,1.0,1.0,0.46683949092574845,0.07334181740469284,0.48921244680793796,0.07995532834339239
Daporinad,Transcription factor (TF) binding,0.1408406552424318,0.1198757254538842,4.097510954914618e-05,0.0004778016624011894,0.00536773935093815,0.06259201777455581,0.000214709574037526,0.001956000555454869,0.00026078085915488987,0.001730654869342557
Daporinad,Regulation of TP53 Activity,-0.01000769883207409,0.018209552579881445,0.7706353467158749,0.5953946443679281,1.0,1.0,0.8265327249859119,0.6723853311396429,0.8336478868608248,0.6699787981004889
Daporinad,Regulation of E2F transcription via DREAM complex,0.14808151262619182,0.14590713946031922,1.611989965111249e-05,2.1255024514443832e-05,0.0021117068542957362,0.002784408211392142,8.798778559565568e-05,0.00015468934507734122,0.0001162407442731598,0.00011723824047966914
Daporinad,Protein Transport,-0.06669583726338627,0.02321650760680882,0.052066336803259894,0.4984670172948351,1.0,1.0,0.10044562893490161,0.5882808942848955,0.10117216496257671,0.5887228784278594
Daporinad,Extended cohesin complex,0.06952174094555617,0.08207021658405715,0.04289309768714378,0.016779487822505823,1.0,1.0,0.09211468519698089,0.03603463778275841,0.08644608918485899,0.038507087382451316
Daporinad,PML body,0.11470522618120406,0.08553827756162985,0.0008356217532201615,0.012683296490835216,0.10946644967184116,1.0,0.003531175795865844,0.030363431989782582,0.003385560299129108,0.030486455785310337
Daporinad,Extended mismatch repair complex,-0.10117547216652313,-0.07386317245462501,0.003210770972421617,0.031449057564361116,0.42061099738723184,1.0,0.01136786479424951,0.062421614256534946,0.010406870038446973,0.0645403635655035
Daporinad,Regulation of beta catenin transcriptional activity,0.044192613721213324,0.10320038708785512,0.19808065485504422,0.0026375724646383603,1.0,0.3455219928676252,0.28831739762234215,0.008427365679698175,0.2985453398198749,0.007927846872679736
Daporinad,Fas,-0.07207499495256438,-0.07980705204314144,0.0357946279433452,0.020098250947557572,1.0,1.0,0.08084648725134864,0.0411386074082819,0.07482600415816311,0.04475134630249363
Daporinad,BAF (SWI/SNF) complex,-0.07765766593504514,0.006762811721375881,0.023706801354494766,0.843394085304296,1.0,1.0,0.062111819548776294,0.9056116817611704,0.05440451347338069,0.8774424236256475
Daporinad,Ribosome biogenesis,0.1944191822527689,0.184409894969934,1.4928341451891924e-08,7.744035146473038e-08,1.955612730197842e-06,1.014468604187968e-05,2.1729030335531579e-07,9.222441856254254e-07,3.008634969535142e-07,8.857598182264388e-07
Daporinad,Homologous recombination,0.12527871616963318,0.17366487541647727,0.00026360116416768165,4.193543499120267e-07,0.034531752505966296,5.4935419838475497e-05,0.00127895379651727,3.662361322565033e-06,0.0012711074542073482,3.788649644032793e-06
Daporinad,Cell Proliferation,-0.0017844887160498406,0.04736154733533928,0.9584943505974528,0.16748582148673985,1.0,1.0,0.9688925344064921,0.24110596279959254,0.9720987865414167,0.24908960395189694
Daporinad,Histone methyltransferase subcomplex,-0.0009967428425282738,-0.010156913711991298,0.9767848219651423,0.7677090566883145,1.0,1.0,0.9767848219651423,0.8451250960182285,0.9830382459213851,0.8165477374119627
