drug,system,drpt_importance_score,drpt_importance_p_bonferroni_pearson,crispr_best_fdr,include_cnb,include_tmb,n_system_genes,n_features_tested,n_pairs_candidate,n_pairs_tested,n_pairs_skipped_low_pair_count,n_pairs_skipped_sparse_combo,n_pairs_failed,fdr_threshold,n_epistasis_pairs_fdr,n_epistasis_pairs_fdr05,epistasis_score_fraction_fdr,epistasis_score_fraction_fdr05,epistasis_score_fraction_tested_fdr,epistasis_score_mean_neglog10p,epistasis_score_hmp_p,epistasis_score_hmp_neglog10p,epistasis_score_max_neglog10p,max_neglog10p_pair,max_neglog10p_gene_1,max_neglog10p_alteration_type_1,max_neglog10p_gene_2,max_neglog10p_alteration_type_2,max_neglog10p_alteration_1,max_neglog10p_alteration_2,max_neglog10p_epistasis_p,max_neglog10p_epistasis_fdr,median_abs_interaction_beta,mean_delta_r2,epistasis_score_hmp_fdr,epistasis_score_hmp_qvalue,epistasis_score_hmp_neglog10q,epistasis_score_hmp_fdr_n_systems
5-FU,RBL-TP53 complex,0.0220090239247728,1.0,0.3162575580477773,True,True,5,15,90,31,57,2,0,0.1,2,2,0.022222222222222223,0.022222222222222223,0.06451612903225806,0.6587197524861291,0.007197263060948211,2.1428326234997606,3.571410541603517,RBL2_mut x TP53_del,RBL2,mut,TP53,del,RBL2_mut,TP53_del,0.0002682807170261236,0.008316702227809832,0.01803119762306701,0.001594835377150582,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,Beta-catenin destruction complex,0.0866412538289661,0.5085777372146294,0.1923455258100152,True,True,5,15,90,20,70,0,0,0.1,2,2,0.022222222222222223,0.022222222222222223,0.1,0.6103613689120966,0.011900176036463324,1.9244466141453545,3.143141409784352,CTNNB1_del x GSK3B_amp,CTNNB1,del,GSK3B,amp,CTNNB1_del,GSK3B_amp,0.0007192147577507278,0.014384295155014555,0.01665059067049913,0.001541379757446898,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,p53 regulation of cell cycle,-0.2566531361166342,0.0,0.2221940998891166,True,True,5,15,90,37,52,1,0,0.1,1,1,0.011111111111111112,0.011111111111111112,0.02702702702702703,0.578160835602872,0.017925113337003667,1.7465380896919793,3.2695934127677093,CDKN1A_amp x TP53_mut,CDKN1A,amp,TP53,mut,CDKN1A_amp,TP53_mut,0.0005375348018715723,0.019888787669248176,0.02062332476571664,0.0012747452672953665,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,TGF-beta/Smad signaling,-0.0605032969054143,1.0,0.1243792246696636,True,True,7,21,189,34,153,2,0,0.1,2,2,0.010582010582010581,0.010582010582010581,0.058823529411764705,0.7227996481080227,0.049592059089758916,1.304587859187114,2.375254234786884,SMAD4_del x TGFBR2_del,SMAD4,del,TGFBR2,del,SMAD4_del,TGFBR2_del,0.004214497157048786,0.0763538795797181,0.03393813703053317,0.0016961325154235868,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,Neg Regulation EGFR,0.0036019446829367,1.0,0.3896709402223403,True,True,6,18,135,37,98,0,0,0.1,1,1,0.007407407407407408,0.007407407407407408,0.02702702702702703,0.4967447075608396,0.059089748950751496,1.2284878551639267,2.652825258758352,CTNNB1_del x EGF_del,CTNNB1,del,EGF,del,CTNNB1_del,EGF_del,0.002224204634002037,0.08229557145807537,0.017832533140598565,0.0010738801879361486,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,RAS-RAF-MAPK,-0.0863239070272022,0.5268348976915693,0.3844586207476471,True,True,7,21,189,57,132,0,0,0.1,1,1,0.005291005291005291,0.005291005291005291,0.017543859649122806,0.5546121233696649,0.05568480296899658,1.2542633126760159,2.783644915834342,BRAF_amp x KRAS_del,BRAF,amp,KRAS,del,BRAF_amp,KRAS_del,0.0016457167302286423,0.0938058536230326,0.02448649923499145,0.0012496235443802163,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,G1 to S cell cycle control,-0.0433581889808347,1.0,0.0983633828620763,True,True,13,38,666,164,495,7,0,0.1,3,3,0.0045045045045045045,0.0045045045045045045,0.018292682926829267,0.5173313653784016,0.027693165921141148,1.5576273922686508,3.339076078813976,CDKN2A_del x TP53_mut,CDKN2A,del,TP53,mut,CDKN2A_del,TP53_mut,0.00045806163739039866,0.044077853753468926,0.017855977866765925,0.001150386972034643,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,Culin-RIng uniqutin ligase complex,-0.1095620603778759,0.0342377857113174,0.0478160563154132,True,True,8,23,231,29,202,0,0,0.1,1,1,0.004329004329004329,0.004329004329004329,0.034482758620689655,0.49507590345589814,0.028000536940578982,1.5528336405115413,2.971716935891559,TET2_del x VHL_del,TET2,del,VHL,del,TET2_del,VHL_del,0.00106729153299594,0.03095145445688226,0.021055690332388133,0.00106553494526965,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,mTOR regulation of autophagy/ribosome biogenesis,-0.0378779229674676,1.0,0.1742497663056277,True,True,8,24,252,64,188,0,0,0.1,1,1,0.003968253968253968,0.003968253968253968,0.015625,0.5007559384373566,0.01220181126782868,1.9135756967649116,3.669677456292739,MAPK1_del x RPS6KB1_amp,MAPK1,del,RPS6KB1,amp,MAPK1_del,RPS6KB1_amp,0.00021395505102234783,0.01369312326543026,0.016777742026209783,0.0011274181213188853,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
5-FU,Wnt/beta-catenin,-0.0935438104444272,0.2392893452255877,0.320352496750682,True,True,8,24,252,51,201,0,0,0.1,1,1,0.003968253968253968,0.003968253968253968,0.0196078431372549,0.4775793618301214,0.027911896654581308,1.554210651557515,3.143141409784352,CTNNB1_del x GSK3B_amp,CTNNB1,del,GSK3B,amp,CTNNB1_del,GSK3B_amp,0.0007192147577507278,0.03667995264528712,0.015195678952248591,0.0010607749385348583,0.20986488089301147,0.20986488089301147,0.6780602308337624,124
