drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
5-FU,Cell,0.47546462950086643,0.4365421405060981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-FU,Signaling pathways,-0.06658920890760296,-0.0315571242132963,0.0265000495611043,0.2929368930227003,1.0,1.0,0.06943012985009327,0.3956158039791108,0.06063766799134783,0.40679928960396194
5-FU,Chromatin binding,0.21797808810282132,0.2592853131317409,3.7481129311345285e-13,0.0,4.910027939786232e-11,0.0,9.820055879572464e-12,0.0,2.215847258766088e-11,0.0
5-FU,CDK holoenzyme complex II,-0.10806218214445049,-0.12617273782598948,0.00031713795162091607,2.607540081212001e-05,0.041545071662340005,0.003415877506387721,0.0015978873716284618,0.00011018959698024907,0.0014552468952221853,0.00013528227748070182
5-FU,MAPK and MAP2K activation,0.11266152913571693,0.16483003734944757,0.00017355393972029454,3.9298052145753104e-08,0.022735566103358584,5.148044831093657e-06,0.0009885028740590689,4.290037359244714e-07,0.0009071028582850218,4.610189400979394e-07
5-FU,Ubiquitin regulation of p53 activity,-0.1856524983129042,-0.20462275762866974,6.148892506274706e-10,9.100276088247483e-12,8.055049183219865e-08,1.1921361675604203e-09,1.1507213118885521e-08,1.7030516679434575e-10,1.5342950825180693e-08,2.307360324310491e-10
5-FU,HDACs deacetylate histones,-0.05728809694012298,-0.029438158671010014,0.056281914320699844,0.3265559768175641,1.0,1.0,0.12623995860771875,0.432109423869706,0.11225068784212003,0.44064033953408654
5-FU,EMT,-0.03876210025043669,0.07967243934193147,0.19654041150879387,0.007915948366026493,1.0,1.0,0.32590878364116455,0.019942100691335972,0.30773060447392825,0.020266890604875645
5-FU,Metabolic pathways,0.006410061179918446,0.022351669349318756,0.8306384045622084,0.45620810531442624,1.0,1.0,0.9144002604844479,0.533600551751695,0.8793020686678732,0.563361462336432
5-FU,CDK holoenzyme complex I,-0.046539714995145934,-0.0177705297265095,0.12098353536873785,0.5537254466669785,1.0,1.0,0.2330712225485979,0.6161318189040875,0.2110833713647679,0.6530055530086198
5-FU,Transcription factor (TF) binding,-0.24036610269568828,-0.21137506031373116,1.1102230246251565e-15,1.8529622280993863e-12,1.454392162258955e-13,2.427380518810196e-10,3.6359804056473877e-14,4.045634198016993e-11,1.163513729807164e-13,5.632525215468412e-11
5-FU,Regulation of TP53 Activity,-0.07782540851515135,-0.12870650082702223,0.009507406572917931,1.78885652146743e-05,1.0,0.0023434020431223335,0.030377323440298757,8.369293011151191e-05,0.025374606337227483,9.564906298458504e-05
5-FU,Regulation of E2F transcription via DREAM complex,-0.017094655424741437,-0.06859299287891069,0.5690796768710973,0.022247008461214746,1.0,1.0,0.7032965817935259,0.04857263514031886,0.6701073048998989,0.0491183950857157
5-FU,Protein Transport,0.027219289004388643,0.05314887117722077,0.36422359485749345,0.0764625193928472,1.0,1.0,0.5186227274601266,0.13355453387283978,0.48154709093017634,0.13445087302634878
5-FU,Extended cohesin complex,0.024264253032545154,-0.004413022480548657,0.4185896552472035,0.8831519326584898,1.0,1.0,0.5712004670560797,0.9109677415611194,0.5332438720004894,0.9212440863564338
5-FU,PML body,0.08591485280014326,0.12675151337805374,0.004191671349697668,2.391508726251601e-05,0.5491089468103945,0.0031328764313895974,0.0144502354423788,0.00010442921437965324,0.01272067058248018,0.00012573417115944871
5-FU,Extended mismatch repair complex,-0.0988193826851871,-0.11191267289279969,0.0009917077479209002,0.00019148764157117526,0.12991371497763793,0.02508488104582396,0.004692092116354621,0.0006779697579952421,0.0039467457714725445,0.0008005813099731051
5-FU,Regulation of beta catenin transcriptional activity,-0.11376372464325678,-0.12910176687511254,0.00015011078203563955,1.6856904535123007e-05,0.01966451244666878,0.002208254494101114,0.0009364053546032753,8.178720348522644e-05,0.0007999123707119503,9.075018468908687e-05
5-FU,Fas,-0.054650044919234766,0.06351568367025308,0.0686169251686688,0.03424953231406813,1.0,1.0,0.14981361995159354,0.06989610697963579,0.13269000299548936,0.06965877278362918
5-FU,BAF (SWI/SNF) complex,-0.058115709687178455,-0.1366164421225323,0.05281549865181612,5.279126402246703e-06,1.0,0.0006915655586943181,0.12138298812961248,3.18213817681298e-05,0.10658018469917194,3.315268387923986e-05
