NeST ID	Old System Name	New System Name	Genes
NEST:10	Chromatin binding	Chromatin Modification and Transcriptional Regulation	"GATA3, CASP8, FUS, HDAC3, EMSY, ZNF217, SPEN, KMT2C, KDM5A, EP300, KMT2B, PALB2, BCL11B, TP53, PTPN11, BCL7A, SMC1A, RSF1, MTA1, ZRSR2, PRKDC, CREBBP, RB1, TOP1, YEATS4, XRCC1, HIST3H3, PPP1CC, CTCF, U2AF1, SMARCE1, PRDM1, PRCC, RAD21, CDK12, PHF6, SMARCB1, KMT2D, BRD4, HDAC1, RANBP2, SMARCA1, WRN, CHD4, BCLAF1, SMARCA4, HDAC2, MEN1, KDM6A, ING1, ATRX, MAGI2, PARP1, DDX3X, DNMT3A, PBRM1, CTNNB1, CHD2, XPO1, TAF1, ARID2, SRSF2, ARID1B, RUNX1, TERT, DNMT1, SF1, SMC3, ARID1A, BARD1, E2F1, EZH2, PRPF40B, STAG2, FUBP1, IRF2, RBM10, UPF1, SF3B1, DNMT3B, MDM2, HIST1H1E, TNF, MYC, SOX2, KMT2A, EWSR1, CDC73, TOP2A, ZBTB2, STAG1"
NEST:104	MAPK and MAP2K activation	MAPK/ERK Signaling Pathway Regulation	"MAPK1, HDAC5, STAT5A, HRAS, MAP2K1, KRAS, BRAF, STAT3, MYC, MAP2K2, HDAC4, RAF1, CDC25A, ARAF"
NEST:112	Transcription factor (TF) binding	Transcriptional Regulation and Chromatin Remodeling in Cell Cycle and Apoptosis	"EP300, AR, CREBBP, CTNNB1, SMAD2, HDAC1, RB1, PML, HDAC2, DAXX, RBL1, CHD4, MYB, REL"
NEST:119	Regulation of E2F transcription via DREAM complex	Cell Cycle Regulation and Tumor Suppression	"TP53, RBL1, E2F4, RBL2, RB1, E2F3, MDM2, E2F2, E2F5, E2F1, TFDP1"
NEST:123	PML body	Chromatin remodeling and transcriptional co-regulation	"EP300, CREBBP, NPM1, TERT, PARP1, HDAC1, RB1, PML, DAXX"
NEST:127	Fas	Apoptotic Signaling Pathway	"MAPK1, TP53, CASP8, FAS, PARP1, DAXX, MAP2K4"
NEST:137	mTOR regulation of autophagy/ribosome biogenesis	mTOR Signaling Pathway Regulation	"RPS6KB1, AKT1, RPTOR, MAPK1, MTOR, PPP2R2A, SQSTM1, RICTOR"
NEST:138	PIK3/AKT signaling	PI3K-AKT Signaling Pathway Regulation	"AKT1, HSP90AA1, PTEN, AKT2, AKT3, PDPK1, PIK3CB, PIK3CD, FOXO3, PRKCZ, PRKDC"
NEST:142	Regulation of adherens junction stability	Regulation of Cell Adhesion and Signal Transduction in Epithelial Cells	"CTNNB1, EGF, EGFR, FYN, CBL, APC, CDH1, HDAC2, CDH2, CTNNA1"
NEST:146	SMAD-TGFbeta signaling	TGF-β Signaling Pathway Regulation	"SMAD4, CREBBP, SMAD3, SMAD2, TGFBR1, HDAC1"
