Current Name,NEST ID,New Name,Important,Direct Genes
RNA metabolism,NEST:19,mRNA splicing,0,"BRD4,DDX3X,FUBP1,GATA3,PRCC,PRKDC"
Checkpoint-regulated DNA repair,NEST:50,Regulation of CDK activity,0,"CDK5,CDKN1C,MSH2,MSH6,TERT"
Mismatch and excision repair,NEST:30,DNA metabolic process,0,"CCNE1,CDKN1A,CDKN1B,CKS1B,MLH3,POLD1,POLE,RB1,TERT,XRCC2"
H3 acetylation and H3K4 methylation crosstalk,NEST:155,H3 acetylation and H3K4 methylation crosstalk,1,"CTNNB1,EP300,EZH2,HIST3H3,TP53"
Extended cohesin complex,NEST:121,Extended cohesin complex,0,SMARCA4
p53 regulation,NEST:94,DNA replication dependent nucleosome assembly,0,"AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53"
Homologous recombination (HR) and Fanconi Anemia repair,NEST:79,Recombinational repair,1,"ATM,AURKA,BRIP1,CDC73,FANCA,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51B,RAD51D,XRCC2,XRCC3"
Regulation of nuclear protein ubiquitiation,NEST:70,BRCA1 mediated protein ubiquitination,0,"BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53"
Mitosis,NEST:65,Cell cycle arrest,0,"BRCA1,BUB1B,CCND1,CCNE1,CDKN1B,CDKN2A,CKS1B,E2F5,HDAC1,MYC,NPM1,PARP1,TP63"
MAPK signaling,NEST:256,MAPK signaling,1,"ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS"
Histone deacetylase binding,NEST:55,Nucleosome remodeling,1,"BCL11B,CHD4,CREBBP,DNMT1,E2F1,EZH2,HDAC1,HDAC2,ING1,IRF2,MTA1,PALB2,PARP1,RUNX1,TP53,ZBTB2"
INSR-FOXO,NEST:52,AKT/activin signaling,1,"ACVR1B,AKT2,AKT3,ALK,BMPR1A,CCND1,EBF1,EGLN1,FOXO1,FOXO3,IGF1R,INSR,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PTEN,RARA,SMAD4,SOD2,TGFBR1,TGFBR2"
Neg Regulation EGFR,NEST:169,AKT1 activation,0,"AKT1,CTNNB1,EGF,EGFR,NF2,PTEN"
Regulation of cellular homeostasis,NEST:3,Nucleus and ribosome,0,"ABL1,ACVR1B,AMER1,AXIN2,BCL2L12,CEP57,CIC,CRKL,CTC1,EGLN1,FANCB,FANCF,FRS2,GEN1,GID4,HIST1H2BD,HIST1H3F,HIST1H4E,HSPH1,INHBA,KDM5C,KRAS,LEF1,LMNA,MAD2L2,MECOM,MGMT,MIB1,MTOR,MUTYH,NKX3-1,PIK3C3,PPP1CB,PPP1R15A,RAB35,RAD52,RECQL4,RICTOR,RINT1,RPS6KB1,RPTOR,SOCS1,SUZ12,TAP2,TRAF7,TSC1,TSC2,WEE1"
Epithelial differentiation,NEST:24,Keratinization,1,"ALOX12B,CDH1,CDH2,EPCAM,FLG,KLF4,PRSS8,ZNF750"
Cytoplasm/extracellular space,NEST:2,Cytoplasm and extracellular space,0,"AKT1,BCAR1,CCND1,CRKL,ERBB2,ERBB4,FGFR3,FRS2,GRIN2A,HRAS,IFNAR1,IFNGR1,KIF1B,MAP2K1,MC1R,MPL,PIK3R2,PIK3R3,PTK2,RASA1,SMAD3,SRC"
mTOR regulation of mRNA translation,NEST:145,mTOR regulation of mRNA translation,1,"AKT1,MTOR,RICTOR,RPS6KB1,RPTOR"
Cell,NEST,NeST,0,"ABCB1,AJUBA,ARHGAP35,BCL10,C11orf65,C3orf70,CADM2,CBFB,CBLC,CRLF2,DDR2,DIS3L2,DYNC2H1,ECT2L,ELF3,ETS2,ETV1,ETV6,FAT1,FDPS,FGF14,FGF3,FGF4,FGF6,FGF8,FGF9,FHIT,FLCN,FNTB,FOXQ1,G6PD,GABRA6,GATA2,GATA4,GATA6,GLI1,GLI2,GLI3,GPER1,GRM3,HAS3,HOXB13,HSD3B1,IDH2,IFNL3,INPP4A,INPP4B,KDM6B,KEL,KLLN,LATS2,LMO1,LRP1B,LZTR1,MAF,MALT1,MEF2B,MITF,MST1R,MTAP,MTHFR,MTRR,NOTCH3,NQO1,NRG1,NT5C2,NTHL1,NTRK1,NTRK2,NUDT15,PAX5,PAX7,PAX8,PDK1,PIK3C2B,PIK3C2G,PIM1,PRSS2,PTCH1,PTCH2,RNF139,RNF43,ROS1,RPS6KA4,RPS6KB2,SCG5,SDHAF2,SDHC,SDHD,SEMA3C,SGK1,SLC26A3,SLC47A2,SMO,SNCAIP,SOX10,SOX9,SPINK1,SPOP,SUFU,TANC1,TCL1A,TET1,TFF1,TMPRSS2,TPRX1,TSHR,WISP3,WNT7A,ZFHX3,ZNF620,ZNF703,ZNRF3"
PI3-K/Akt,NEST:254,EGFR-insulin receptor crosstalk,1,"EGFR,IGF1R,INSR,IRS1,PDPK1,PTEN"
Transmembrane tyrosine kinase signaling,NEST:38,Transmembrane receptor tyrosine kinase signaling,1,"ABL1,AKT1,BCAR1,BTK,CDKN1B,CRKL,EPHB2,FYN,GSK3B,HLA-A,IFNAR1,IFNAR2,IFNGR1,MAP2K2,NRAS,PTK2,RASA1,SRC,STAT5B,STAT6,SYK,TNF,TP53,TSC2"
Structural constituent of muscle,NEST:22,Structural constituent of muscle,0,FBXO11
Immune system,NEST:8,Immune system,0,"AXL,CSF3R,CYLD,FAM46C,FAS,FOXP1,HGF,IFNGR2,IGF1,IKBKE,IL10RA,IL2RA,IL6R,JAK2,MAFB,MYD88,NFKBIA,NKX2-1,NTRK3,PCBP1,PIK3CG,PLCG2,POU2F2,PRDM1,SOD2,STAT5A,TLR4,TMEM173,TNFAIP3,VSIR"
Metabolism,NEST:7,Metabolism,0,"ABCC3,FGF19,FGF23,GATA1,HGF,SPTA1"
Cell motility,NEST:5,Cell motility,0,"ABL1,ABL2,BCL2L12,CBLB,CSF1R,CUL3,ERRFI1,EXT2,FGF23,FOXP1,GPC3,IL2RA,NF2,PAK5,PDGFRA,PLK2,QKI"
Cell projection morphogenesis,NEST:97,Ephrin receptor activity,0,"EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,PTPRD,SLIT2"
Lymphoid JAK/STAT signaling,NEST:84,JAK-STAT signaling pathway,0,"CSF3R,EPOR,IFNAR2,IL6R,IRS1,IRS2,JAK1,JAK2,JAK3,PIK3R1,PTPN11,SOCS1,STAT3,STAT5A,STAT5B,STAT6"
Interferon signaling,NEST:36,Interferon signaling,0,IRF2
NeST:29,NEST:29,NEST:29,0,"ADGRA2,EGFL7,ENG,ETS1,SOX17,TMEM127"
Integrator-PP2A complex,NEST:53,Integrator-PP2A complex,0,"AKT1,ARAF,BRAF,CCDC6,MYC,PPP6C,RAF1"
Mediator/CCR-NOT complex,NEST:45,Mediator/CCR-NOT complex,1,"BTG1,DICER1,PNRC1"
Cellular response to DNA damage,NEST:15,Cell cycle,0,"ARID1A,BRD4,CDC25A,DNMT3A,DNMT3B,EED,EMSY,FANCC,FANCE,FANCG,FANCI,FANCL,FANCM,HDAC3,HIF1A,KDM5A,PPP1CA,PPP1CC,PRKDC,RAD54L,SMARCB1,SMARCE1,SMC3,SOX2,STAT3,TNF,TYMS,UBE2T,XPC,XRCC1,YEATS4"
Nucleus,NEST:4,Regulation of biogenesis,0,"CCDC6,CUL3,ELOC,H3F3A,H3F3C,HSP90AA1,PCBP1,PIAS4,PNRC1,POT1,PPP2R2A,PRKCZ,RAD50,RAF1,RXRA,SKP1,SLX4"
SMAD-TGFbeta signaling,NEST:146,SMAD-TGFbeta signaling,0,"CREBBP,HDAC1,SMAD2,SMAD3,SMAD4,TGFBR1"
RPA complex associated proteins,NEST:134,RPA complex associated proteins,1,"ATM,ATR,BLM,BRCA1,XPA,XPC"
Extended mismatch repair complex,NEST:125,Extended mismatch repair complex,1,"ERCC1,ERCC4,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,SLX4"
Cyclin D associated events in G1,NEST:58,Cyclin D associated events in G1,1,
