drug,system,drpt_importance_score,drpt_importance_p_bonferroni_pearson,crispr_best_fdr,include_cnb,include_tmb,n_system_genes,n_features_tested,n_pairs_candidate,n_pairs_tested,n_pairs_skipped_low_pair_count,n_pairs_skipped_sparse_combo,n_pairs_failed,fdr_threshold,n_epistasis_pairs_fdr,n_epistasis_pairs_fdr05,epistasis_score_fraction_fdr,epistasis_score_fraction_fdr05,epistasis_score_fraction_tested_fdr,epistasis_score_mean_neglog10p,epistasis_score_max_neglog10p,median_abs_interaction_beta,mean_delta_r2
5-FU,RBL-TP53 complex,0.0220090239247728,1.0,0.3162575580477773,True,True,5,15,90,58,32,0,0,0.1,2,2,0.022222222222222223,0.022222222222222223,0.034482758620689655,0.5027178647124432,3.571410541603517,0.020915591559638732,0.0011262903248779206
5-FU,RAS-RAF-MAPK,-0.0863239070272022,0.5268348976915693,0.3844586207476471,True,True,7,21,189,113,76,0,0,0.1,3,3,0.015873015873015872,0.015873015873015872,0.02654867256637168,0.5179733678182996,2.91424853746512,0.02664167859968417,0.001168970747538666
5-FU,p53 regulation of cell cycle,-0.2566531361166342,0.0,0.2221940998891166,True,True,5,15,90,59,31,0,0,0.1,1,1,0.011111111111111112,0.011111111111111112,0.01694915254237288,0.48945575797587354,3.2695934127677093,0.022379799538179763,0.0010199056981026338
5-FU,Beta-catenin destruction complex,0.0866412538289661,0.5085777372146294,0.1923455258100152,True,True,5,15,90,58,32,0,0,0.1,1,1,0.011111111111111112,0.011111111111111112,0.017241379310344827,0.443647188058192,3.143141409784352,0.024064937734431954,0.0009749904555599645
5-FU,Fas,-0.0546500449192347,1.0,0.0239924266360653,True,True,7,21,189,108,80,1,0,0.1,2,2,0.010582010582010581,0.010582010582010581,0.018518518518518517,0.5731523518222926,5.474687329611996,0.028018743988798684,0.001336567512936123
5-FU,Regulation of nuclear protein ubiquitiation,-0.013647577088822,1.0,0.2123006676550933,True,True,11,33,495,304,190,1,0,0.1,2,2,0.00404040404040404,0.00404040404040404,0.006578947368421052,0.44920308042493917,6.221390962467656,0.025095254894718557,0.0009558240314224102
5-FU,mTOR regulation of autophagy/ribosome biogenesis,-0.0378779229674676,1.0,0.1742497663056277,True,True,8,24,252,137,115,0,0,0.1,1,1,0.003968253968253968,0.003968253968253968,0.0072992700729927005,0.44263769280628984,3.669677456292739,0.02458843292391919,0.000925806485089139
5-FU,MDM2-p53 pathway,-0.1418984972335979,0.0002963425011668,0.2076422703644157,True,True,8,24,252,165,86,1,0,0.1,1,1,0.003968253968253968,0.003968253968253968,0.006060606060606061,0.4164244913722543,3.2695934127677093,0.01981837326314685,0.0008287463646050119
5-FU,Wnt/beta-catenin,-0.0935438104444272,0.2392893452255877,0.320352496750682,True,True,8,24,252,137,115,0,0,0.1,1,1,0.003968253968253968,0.003968253968253968,0.0072992700729927005,0.4158319453053011,3.143141409784352,0.023567965670775654,0.0008483819353484304
5-FU,Extended PRC1 complex,0.0881301364284214,0.4338747113881094,0.2076422703644157,True,True,8,24,252,173,79,0,0,0.1,1,1,0.003968253968253968,0.003968253968253968,0.005780346820809248,0.3946193225082927,3.6815760358934653,0.019408731930015192,0.0007957378023280318
5-FU,PcG protein complex,0.0286780274736774,1.0,0.2259934861676522,True,True,9,27,324,224,100,0,0,0.1,1,1,0.0030864197530864196,0.0030864197530864196,0.004464285714285714,0.40192493074483665,3.6815760358934653,0.02126833194252456,0.0008081597750839968
5-FU,Apoptosis Regulation,0.0295383915603674,1.0,0.5504544526135874,True,True,13,38,666,331,334,1,0,0.1,2,2,0.003003003003003003,0.003003003003003003,0.006042296072507553,0.540883260790934,3.523343942821127,0.02755454168703725,0.0012018884956054674
5-FU,G1 to S cell cycle control,-0.0433581889808347,1.0,0.0983633828620763,True,True,13,38,666,324,339,3,0,0.1,2,2,0.003003003003003003,0.003003003003003003,0.006172839506172839,0.48868576497798333,3.339076078813976,0.024322062333021893,0.0010560070504856047
5-FU,Histone acetyltransferase complex,-0.0009302732399269,1.0,0.2238981792111812,True,True,14,42,819,422,396,1,0,0.1,2,2,0.002442002442002442,0.002442002442002442,0.004739336492890996,0.4396883823085761,3.8970465457521963,0.02415728251001331,0.0009105175667500569
5-FU,Positive regulators of transcription,0.1889589655030908,3.967890149780828e-08,0.4040194593168256,True,True,15,45,945,547,393,5,0,0.1,2,2,0.0021164021164021165,0.0021164021164021165,0.003656307129798903,0.47275148887811275,4.243799102801049,0.024361023924688068,0.0009950521065732604
5-FU,Regulation of TP53 Activity,-0.0778254085151513,1.0,0.0276113858999552,True,True,11,33,495,301,192,2,0,0.1,1,1,0.00202020202020202,0.00202020202020202,0.0033222591362126247,0.4171004288564787,3.8115461770296046,0.023483945130305373,0.0008403921132116612
5-FU,Regulation of E2F transcription via DREAM complex,-0.0170946554247414,1.0,0.2598932981619615,True,True,11,33,495,318,176,1,0,0.1,1,1,0.00202020202020202,0.00202020202020202,0.0031446540880503146,0.4080114076334794,3.571410541603517,0.022777611793125603,0.0008049028229861332
5-FU,Actin filament-based process,-0.069120752274627,1.0,0.6924177532949252,True,True,11,33,495,248,247,0,0,0.1,1,1,0.00202020202020202,0.00202020202020202,0.004032258064516129,0.3983699809534192,4.0351720148588015,0.026145561940276053,0.0007826328273935591
5-FU,TNFR/Traf signaling,-0.1260718160382492,0.0034803920565174,0.4105202351845146,True,True,12,36,594,334,260,0,0,0.1,1,1,0.0016835016835016834,0.0016835016835016834,0.0029940119760479044,0.46216261223706984,4.172459841641852,0.025653528119889187,0.0009835039133138056
5-FU,Regulation of immune responses,-0.0660695414977026,1.0,0.9117647058823538,True,True,57,169,14029,6278,7644,107,0,0.1,21,21,0.0014968992800627272,0.0014968992800627272,0.003345014335775725,0.46207498934065494,7.150017677699576,0.02628293013844982,0.0009852058935843002
5-FU,Mitosis,0.0016551798854913,1.0,0.1087676783064446,True,True,29,87,3654,2105,1543,6,0,0.1,2,2,0.0005473453749315818,0.0005473453749315818,0.0009501187648456057,0.4524817970452836,5.60946243258616,0.023852253692845583,0.0009439931638852756
5-FU,NeST:16,-0.0102854881998798,1.0,0.5752170125297349,True,True,22,64,1954,1135,819,0,0,0.1,1,1,0.0005117707267144319,0.0005117707267144319,0.000881057268722467,0.4072593220969865,4.754098225553821,0.024516841521784603,0.0008016041481270544
5-FU,RNA metabolism,0.1113576269319017,0.0270181885379512,0.0070181807520399,True,True,22,66,2079,1124,955,0,0,0.1,1,1,0.000481000481000481,0.000481000481000481,0.0008896797153024911,0.44368436026829955,4.2012168789005715,0.024996346738129102,0.0009202390959092618
5-FU,Lymphocyte activation,-0.0324050319901505,1.0,0.7462647155994996,True,True,39,115,6442,2919,3450,73,0,0.1,2,2,0.0003104625892579944,0.0003104625892579944,0.0006851661527920521,0.508181527534611,4.921222965646278,0.03138541279495003,0.0010924371299834686
5-FU,Immune system,0.0987086098398072,0.1313785792579294,0.9117647058823538,True,True,99,290,41620,20539,20943,138,0,0.1,3,3,7.208073041806823e-05,7.208073041806823e-05,0.00014606358634792346,0.4463557841606009,7.150017677699576,0.026036004607875033,0.0009288489122300621
5-FU,MHC class I including non-classical MHCs,-0.0955448260162275,0.1904519509269384,0.7677997855513848,True,True,8,24,252,123,120,9,0,0.1,0,0,0.0,0.0,0.0,0.6322664856067255,2.616158862476766,0.040029731589118045,0.0014496210827972481
5-FU,MutS homologs,0.0457250001648753,1.0,0.0009215849600614,True,True,5,15,90,61,27,2,0,0.1,0,0,0.0,0.0,0.0,0.6154428297750509,2.0898813446167064,0.03830264825074806,0.0013921420525908285
5-FU,TGF-beta/Smad signaling,-0.0605032969054143,1.0,0.1243792246696636,True,True,7,21,189,123,66,0,0,0.1,0,0,0.0,0.0,0.0,0.5072099200881947,3.0683425996272726,0.030149110573892454,0.0011078857704881376
5-FU,CDK holoenzyme complex II,-0.1080621821444504,0.04154507166234,0.1433373151995567,True,True,17,49,1129,551,573,5,0,0.1,0,0,0.0,0.0,0.0,0.5012657318523781,3.339076078813976,0.024934405351689688,0.001093071796195718
5-FU,Protein Transport,0.0272192890043886,1.0,0.167871834573049,True,True,15,45,945,594,351,0,0,0.1,0,0,0.0,0.0,0.0,0.4972117659684684,2.970243010914711,0.024230449827142515,0.0010752193502384284
5-FU,Extended mismatch repair complex,-0.0988193826851871,0.1299137149776379,3.910409287382977e-06,True,True,10,30,405,225,178,2,0,0.1,0,0,0.0,0.0,0.0,0.48725179179964745,2.4714705977649545,0.0302101450540557,0.001026423224914563
5-FU,CDK holoenzyme complex I,-0.0465397149951459,1.0,0.0621128841439947,True,True,15,44,903,454,445,4,0,0.1,0,0,0.0,0.0,0.0,0.47962214127056857,3.339076078813976,0.023671921471420852,0.0010325463893094502
5-FU,H3 acetylation and H3K4 methylation crosstalk,0.0428559518322497,1.0,0.0890367053970998,True,True,5,13,66,47,18,1,0,0.1,0,0,0.0,0.0,0.0,0.4787838164488997,1.7820657418095442,0.02507361912733007,0.0010224668993693091
5-FU,MutL alpha/beta complex,0.0285138011908754,1.0,0.0070251898825775,True,True,5,15,90,57,33,0,0,0.1,0,0,0.0,0.0,0.0,0.4785731178450981,1.9523368898721967,0.025232797041233785,0.001024691905443144
5-FU,Cohesin,-0.0738759011083189,1.0,0.0386132213618355,True,True,5,15,90,55,35,0,0,0.1,0,0,0.0,0.0,0.0,0.4767043790600063,1.8397672968647087,0.0245716439111214,0.0010140039044616387
